componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,270,648,445,BRC0147G,Nome não encontrado
Energia,kcal,65,155,106,BRC0147G,Nome não encontrado
Umidade,g,"87,8",210,144,BRC0147G,Nome não encontrado
Carboidrato total,g,"7,15","17,2","11,8",BRC0147G,Nome não encontrado
Carboidrato disponível,g,"6,77","16,3","11,2",BRC0147G,Nome não encontrado
Proteína,g,"1,43","3,43","2,36",BRC0147G,Nome não encontrado
Lipídios,g,"3,38","8,11","5,58",BRC0147G,Nome não encontrado
Fibra alimentar,g,"0,38","0,90","0,62",BRC0147G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0147G,Nome não encontrado
Cinzas,g,"0,26","0,62","0,43",BRC0147G,Nome não encontrado
Colesterol,mg,,,,BRC0147G,Nome não encontrado
Ácidos graxos saturados,g,"1,30","3,12","2,15",BRC0147G,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0147G,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0147G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0147G,Nome não encontrado
Cálcio,mg,"49,4",118,"81,5",BRC0147G,Nome não encontrado
Ferro,mg,"0,72","1,72","1,18",BRC0147G,Nome não encontrado
Sódio,mg,"21,5","51,5","35,4",BRC0147G,Nome não encontrado
Magnésio,mg,"7,80","18,7","12,9",BRC0147G,Nome não encontrado
Fósforo,mg,"27,3","65,5","45,0",BRC0147G,Nome não encontrado
Potássio,mg,"75,4",180,124,BRC0147G,Nome não encontrado
Manganês,mg,"7,80","18,7","12,9",BRC0147G,Nome não encontrado
Zinco,mg,"0,75","1,81","1,24",BRC0147G,Nome não encontrado
Cobre,mg,"52,0",124,"85,8",BRC0147G,Nome não encontrado
Selênio,mcg,"1,82","4,37","3,00",BRC0147G,Nome não encontrado
Vitamina A (RE),mcg,"74,1",177,122,BRC0147G,Nome não encontrado
Vitamina A (RAE),mcg,"74,1",177,122,BRC0147G,Nome não encontrado
Vitamina D,mcg,"1,14","2,75","1,89",BRC0147G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,04","2,50","1,72",BRC0147G,Nome não encontrado
Tiamina,mg,"0,08","0,20","0,14",BRC0147G,Nome não encontrado
Riboflavina,mg,"0,10","0,25","0,17",BRC0147G,Nome não encontrado
Niacina,mg,"0,52","1,25","0,86",BRC0147G,Nome não encontrado
Vitamina B6,mg,"0,05","0,11","0,08",BRC0147G,Nome não encontrado
Vitamina B12,mcg,"0,16","0,37","0,26",BRC0147G,Nome não encontrado
Vitamina C,mg,"14,3","34,3","23,6",BRC0147G,Nome não encontrado
Equivalente de folato,mcg,"11,1","26,5","18,2",BRC0147G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0147G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0147G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0147G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0147G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0147G,Nome não encontrado
