componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,1345,47,26,107,40,282,147,295,228,BRC0148G,Nome não encontrado
Energia,kcal,325,11,6,26,9,68,35,71,55,BRC0148G,Nome não encontrado
Umidade,g,"52,1","1,83","1,04","4,17","1,56","11,0","5,74","11,5","8,87",BRC0148G,Nome não encontrado
Carboidrato total,g,"8,28","0,29","0,17","0,66","0,25","1,74","0,91","1,82","1,41",BRC0148G,Nome não encontrado
Carboidrato disponível,g,"6,33","0,22","0,13","0,51","0,19","1,33","0,70","1,39","1,08",BRC0148G,Nome não encontrado
Proteína,g,"7,94","0,28","0,16","0,63","0,24","1,67","0,87","1,75","1,35",BRC0148G,Nome não encontrado
Lipídios,g,"29,4","1,03","0,59","2,35","0,88","6,18","3,23","6,47","5,00",BRC0148G,Nome não encontrado
Fibra alimentar,g,"1,95","0,07","0,04","0,16","0,06","0,41","0,21","0,43","0,33",BRC0148G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0148G,Nome não encontrado
Cinzas,g,"2,23","0,08","0,04","0,18","0,07","0,47","0,25","0,49","0,38",BRC0148G,Nome não encontrado
Colesterol,mg,"54,0","1,89","1,08","4,32","1,62","11,3","5,94","11,9","9,19",BRC0148G,Nome não encontrado
Ácidos graxos saturados,g,"10,7","0,37","0,21","0,86","0,32","2,25","1,18","2,36","1,82",BRC0148G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,52","0,33","0,19","0,76","0,29","2,00","1,05","2,09","1,62",BRC0148G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,33","0,15","0,09","0,35","0,13","0,91","0,48","0,95","0,74",BRC0148G,Nome não encontrado
Ácidos graxos trans,g,"0,48","0,02","0,01","0,04","0,01","0,10","0,05","0,11","0,08",BRC0148G,Nome não encontrado
Cálcio,mg,151,"5,30","3,03","12,1","4,54","31,8","16,7","33,3","25,7",BRC0148G,Nome não encontrado
Ferro,mg,"0,88","0,03","0,02","0,07","0,03","0,19","0,10","0,19","0,15",BRC0148G,Nome não encontrado
Sódio,mg,432,"15,1","8,65","34,6","13,0","90,8","47,6","95,1","73,5",BRC0148G,Nome não encontrado
Magnésio,mg,"28,7","1,00","0,57","2,29","0,86","6,02","3,15","6,30","4,87",BRC0148G,Nome não encontrado
Fósforo,mg,292,"10,2","5,85","23,4","8,77","61,4","32,2","64,3","49,7",BRC0148G,Nome não encontrado
Potássio,mg,261,"9,14","5,22","20,9","7,83","54,8","28,7","57,4","44,4",BRC0148G,Nome não encontrado
Manganês,mg,"0,03","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0148G,Nome não encontrado
Zinco,mg,"1,01","0,04","0,02","0,08","0,03","0,21","0,11","0,22","0,17",BRC0148G,Nome não encontrado
Cobre,mg,"0,03","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,00",BRC0148G,Nome não encontrado
Selênio,mcg,"5,65","0,20","0,11","0,45","0,17","1,19","0,62","1,24","0,96",BRC0148G,Nome não encontrado
Vitamina A (RE),mcg,128,"4,51","2,58","10,3","3,87","27,1","14,2","28,4","21,9",BRC0148G,Nome não encontrado
Vitamina A (RAE),mcg,131,"4,61","2,63","10,5","3,95","27,6","14,5","29,0","22,4",BRC0148G,Nome não encontrado
Vitamina D,mcg,"0,54","0,02","0,01","0,04","0,02","0,11","0,06","0,12","0,09",BRC0148G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,26","0,04","0,03","0,10","0,04","0,27","0,14","0,28","0,21",BRC0148G,Nome não encontrado
Tiamina,mg,"0,16","0,01","0,00","0,01","0,00","0,03","0,02","0,03","0,03",BRC0148G,Nome não encontrado
Riboflavina,mg,"0,14","0,00","0,00","0,01","0,00","0,03","0,02","0,03","0,02",BRC0148G,Nome não encontrado
Niacina,mg,"0,24","0,01","0,00","0,02","0,01","0,05","0,03","0,05","0,04",BRC0148G,Nome não encontrado
Vitamina B6,mg,"0,31","0,01","0,01","0,02","0,01","0,06","0,03","0,07","0,05",BRC0148G,Nome não encontrado
Vitamina B12,mcg,"0,19","0,01","0,00","0,01","0,01","0,04","0,02","0,04","0,03",BRC0148G,Nome não encontrado
Vitamina C,mg,"1,00","0,04","0,02","0,08","0,03","0,21","0,11","0,22","0,17",BRC0148G,Nome não encontrado
Equivalente de folato,mcg,"14,6","0,51","0,29","1,17","0,44","3,07","1,61","3,22","2,49",BRC0148G,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0148G,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0148G,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0148G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0148G,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0148G,Nome não encontrado
