componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1621,1296,BRC0148K,Nome não encontrado
Energia,kcal,385,307,BRC0148K,Nome não encontrado
Umidade,g,"16,5","13,2",BRC0148K,Nome não encontrado
Carboidrato total,g,"62,3","49,8",BRC0148K,Nome não encontrado
Carboidrato disponível,g,"61,5","49,2",BRC0148K,Nome não encontrado
Proteína,g,"8,07","6,45",BRC0148K,Nome não encontrado
Lipídios,g,"11,7","9,33",BRC0148K,Nome não encontrado
Fibra alimentar,g,"0,78","0,63",BRC0148K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0148K,Nome não encontrado
Cinzas,g,"1,49","1,19",BRC0148K,Nome não encontrado
Colesterol,mg,"33,8","27,0",BRC0148K,Nome não encontrado
Ácidos graxos saturados,g,"6,17","4,93",BRC0148K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,56","2,85",BRC0148K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,21","0,97",BRC0148K,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,07",BRC0148K,Nome não encontrado
Cálcio,mg,"44,8","35,9",BRC0148K,Nome não encontrado
Ferro,mg,"1,74","1,39",BRC0148K,Nome não encontrado
Sódio,mg,"20,9","16,8",BRC0148K,Nome não encontrado
Magnésio,mg,"20,8","16,6",BRC0148K,Nome não encontrado
Fósforo,mg,"75,3","60,2",BRC0148K,Nome não encontrado
Potássio,mg,102,"82,0",BRC0148K,Nome não encontrado
Manganês,mg,"0,16","0,13",BRC0148K,Nome não encontrado
Zinco,mg,"0,44","0,35",BRC0148K,Nome não encontrado
Cobre,mg,"0,10","0,08",BRC0148K,Nome não encontrado
Selênio,mcg,"2,90","2,32",BRC0148K,Nome não encontrado
Vitamina A (RE),mcg,"43,0","34,4",BRC0148K,Nome não encontrado
Vitamina A (RAE),mcg,"43,0","34,4",BRC0148K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0148K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,15",BRC0148K,Nome não encontrado
Tiamina,mg,"0,08","0,06",BRC0148K,Nome não encontrado
Riboflavina,mg,"0,06","0,05",BRC0148K,Nome não encontrado
Niacina,mg,traços,traços,BRC0148K,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0148K,Nome não encontrado
Vitamina B12,mcg,"0,19","0,15",BRC0148K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0148K,Nome não encontrado
Equivalente de folato,mcg,"47,4","37,9",BRC0148K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0148K,Nome não encontrado
Açúcar de adição,g,,,BRC0148K,Nome não encontrado
Gordura de adição,g,-,-,BRC0148K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0148K,Nome não encontrado
Proteína animal,g,-,-,BRC0148K,Nome não encontrado
