componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,384,768,BRC0149H,Nome não encontrado
Energia,kcal,92,184,BRC0149H,Nome não encontrado
Umidade,g,"83,3",166,BRC0149H,Nome não encontrado
Carboidrato total,g,"7,68","15,4",BRC0149H,Nome não encontrado
Carboidrato disponível,g,"7,49","15,0",BRC0149H,Nome não encontrado
Proteína,g,"0,10","0,20",BRC0149H,Nome não encontrado
Lipídios,g,"0,03","0,07",BRC0149H,Nome não encontrado
Fibra alimentar,g,"0,18","0,36",BRC0149H,Nome não encontrado
Álcool,g,"8,71","17,4",BRC0149H,Nome não encontrado
Cinzas,g,"0,19","0,38",BRC0149H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0149H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02",BRC0149H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,01",BRC0149H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0149H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0149H,Nome não encontrado
Cálcio,mg,"11,2","22,3",BRC0149H,Nome não encontrado
Ferro,mg,"0,44","0,89",BRC0149H,Nome não encontrado
Sódio,mg,"3,15","6,30",BRC0149H,Nome não encontrado
Magnésio,mg,"7,37","14,7",BRC0149H,Nome não encontrado
Fósforo,mg,"6,35","12,7",BRC0149H,Nome não encontrado
Potássio,mg,"76,4",152,BRC0149H,Nome não encontrado
Manganês,mg,"0,42","0,84",BRC0149H,Nome não encontrado
Zinco,mg,"0,08","0,16",BRC0149H,Nome não encontrado
Cobre,mg,"0,05","0,10",BRC0149H,Nome não encontrado
Selênio,mcg,"0,18","0,36",BRC0149H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0149H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0149H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0149H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,05",BRC0149H,Nome não encontrado
Tiamina,mg,traços,,BRC0149H,Nome não encontrado
Riboflavina,mg,"0,02","0,04",BRC0149H,Nome não encontrado
Niacina,mg,"0,14","0,27",BRC0149H,Nome não encontrado
Vitamina B6,mg,"0,04","0,09",BRC0149H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0149H,Nome não encontrado
Vitamina C,mg,"0,03","0,06",BRC0149H,Nome não encontrado
Equivalente de folato,mcg,"0,88","1,76",BRC0149H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0149H,Nome não encontrado
Açúcar de adição,g,"5,00","10,00",BRC0149H,Nome não encontrado
Gordura de adição,g,-,-,BRC0149H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0149H,Nome não encontrado
Proteína animal,g,-,-,BRC0149H,Nome não encontrado
