componente,unidade,Valor por 100g,Porção Média (45 g),codigo_alimento,nome_alimento
Energia,kJ,1022,459,BRC0150K,Nome não encontrado
Energia,kcal,244,109,BRC0150K,Nome não encontrado
Umidade,g,"52,3","23,5",BRC0150K,Nome não encontrado
Carboidrato total,g,"24,3","10,9",BRC0150K,Nome não encontrado
Carboidrato disponível,g,"24,1","10,8",BRC0150K,Nome não encontrado
Proteína,g,"9,84","4,43",BRC0150K,Nome não encontrado
Lipídios,g,"11,9","5,36",BRC0150K,Nome não encontrado
Fibra alimentar,g,"0,27","0,12",BRC0150K,Nome não encontrado
Álcool,g,"0,09","0,04",BRC0150K,Nome não encontrado
Cinzas,g,"1,57","0,70",BRC0150K,Nome não encontrado
Colesterol,mg,"72,4","32,6",BRC0150K,Nome não encontrado
Ácidos graxos saturados,g,"6,40","2,88",BRC0150K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,40","1,53",BRC0150K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,24",BRC0150K,Nome não encontrado
Ácidos graxos trans,g,"0,48","0,22",BRC0150K,Nome não encontrado
Cálcio,mg,190,"85,6",BRC0150K,Nome não encontrado
Ferro,mg,"0,72","0,32",BRC0150K,Nome não encontrado
Sódio,mg,211,"95,1",BRC0150K,Nome não encontrado
Magnésio,mg,"16,2","7,29",BRC0150K,Nome não encontrado
Fósforo,mg,153,"69,2",BRC0150K,Nome não encontrado
Potássio,mg,157,"70,7",BRC0150K,Nome não encontrado
Manganês,mg,"0,14","0,06",BRC0150K,Nome não encontrado
Zinco,mg,"0,62","0,28",BRC0150K,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0150K,Nome não encontrado
Selênio,mcg,"11,9","5,37",BRC0150K,Nome não encontrado
Vitamina A (RE),mcg,110,"49,9",BRC0150K,Nome não encontrado
Vitamina A (RAE),mcg,109,"49,1",BRC0150K,Nome não encontrado
Vitamina D,mcg,"0,28","0,12",BRC0150K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,16",BRC0150K,Nome não encontrado
Tiamina,mg,"0,12","0,05",BRC0150K,Nome não encontrado
Riboflavina,mg,"0,20","0,09",BRC0150K,Nome não encontrado
Niacina,mg,"0,40","0,18",BRC0150K,Nome não encontrado
Vitamina B6,mg,"0,13","0,06",BRC0150K,Nome não encontrado
Vitamina B12,mcg,"0,34","0,15",BRC0150K,Nome não encontrado
Vitamina C,mg,"0,96","0,43",BRC0150K,Nome não encontrado
Equivalente de folato,mcg,"19,0","8,53",BRC0150K,Nome não encontrado
Sal de adição,g,,,BRC0150K,Nome não encontrado
Açúcar de adição,g,,,BRC0150K,Nome não encontrado
Gordura de adição,g,-,-,BRC0150K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0150K,Nome não encontrado
Proteína animal,g,-,-,BRC0150K,Nome não encontrado
