componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,1448,289,BRC0151K,Nome não encontrado
Energia,kcal,341,68,BRC0151K,Nome não encontrado
Umidade,g,"14,7","2,95",BRC0151K,Nome não encontrado
Carboidrato total,g,"85,2","17,0",BRC0151K,Nome não encontrado
Carboidrato disponível,g,"85,1","17,0",BRC0151K,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0151K,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0151K,Nome não encontrado
Fibra alimentar,g,"0,10","0,02",BRC0151K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0151K,Nome não encontrado
Cinzas,g,"0,03","0,01",BRC0151K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0151K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0151K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0151K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0151K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0151K,Nome não encontrado
Cálcio,mg,"8,00","1,60",BRC0151K,Nome não encontrado
Ferro,mg,"0,04","0,01",BRC0151K,Nome não encontrado
Sódio,mg,"0,00","0,00",BRC0151K,Nome não encontrado
Magnésio,mg,"1,00","0,20",BRC0151K,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0151K,Nome não encontrado
Potássio,mg,"7,00","1,40",BRC0151K,Nome não encontrado
Manganês,mg,,,BRC0151K,Nome não encontrado
Zinco,mg,"0,26","0,05",BRC0151K,Nome não encontrado
Cobre,mg,"0,02","0,00",BRC0151K,Nome não encontrado
Selênio,mcg,"0,80","0,16",BRC0151K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0151K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0151K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0151K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00",BRC0151K,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0151K,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0151K,Nome não encontrado
Niacina,mg,"0,01","0,00",BRC0151K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0151K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0151K,Nome não encontrado
Vitamina C,mg,"1,60","0,32",BRC0151K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0151K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0151K,Nome não encontrado
Açúcar de adição,g,,,BRC0151K,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0151K,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0151K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0151K,Nome não encontrado
