componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (250 g),codigo_alimento,nome_alimento
Energia,kJ,1007,2516,BRC0154T,Nome não encontrado
Energia,kcal,242,603,BRC0154T,Nome não encontrado
Umidade,g,"56,4",140,BRC0154T,Nome não encontrado
Carboidrato total,g,"12,0","29,9",BRC0154T,Nome não encontrado
Carboidrato disponível,g,"10,4","26,0",BRC0154T,Nome não encontrado
Proteína,g,"14,8","36,9",BRC0154T,Nome não encontrado
Lipídios,g,"15,3","38,3",BRC0154T,Nome não encontrado
Fibra alimentar,g,"1,57","3,91",BRC0154T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0154T,Nome não encontrado
Cinzas,g,"1,62","4,04",BRC0154T,Nome não encontrado
Colesterol,mg,"98,1",245,BRC0154T,Nome não encontrado
Ácidos graxos saturados,g,"4,24","10,6",BRC0154T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,40","13,5",BRC0154T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,50","11,3",BRC0154T,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,26",BRC0154T,Nome não encontrado
Cálcio,mg,"29,2","72,9",BRC0154T,Nome não encontrado
Ferro,mg,"1,07","2,67",BRC0154T,Nome não encontrado
Sódio,mg,351,879,BRC0154T,Nome não encontrado
Magnésio,mg,"25,5","63,6",BRC0154T,Nome não encontrado
Fósforo,mg,147,368,BRC0154T,Nome não encontrado
Potássio,mg,266,665,BRC0154T,Nome não encontrado
Manganês,mg,"0,27","0,67",BRC0154T,Nome não encontrado
Zinco,mg,"1,55","3,88",BRC0154T,Nome não encontrado
Cobre,mg,"0,15","0,39",BRC0154T,Nome não encontrado
Selênio,mcg,"3,40","8,50",BRC0154T,Nome não encontrado
Vitamina A (RE),mcg,"28,7","71,7",BRC0154T,Nome não encontrado
Vitamina A (RAE),mcg,"27,3","68,2",BRC0154T,Nome não encontrado
Vitamina D,mcg,"0,73","1,84",BRC0154T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","1,35",BRC0154T,Nome não encontrado
Tiamina,mg,"0,13","0,33",BRC0154T,Nome não encontrado
Riboflavina,mg,"0,09","0,23",BRC0154T,Nome não encontrado
Niacina,mg,"1,91","4,77",BRC0154T,Nome não encontrado
Vitamina B6,mg,"0,03","0,07",BRC0154T,Nome não encontrado
Vitamina B12,mcg,"0,60","1,51",BRC0154T,Nome não encontrado
Vitamina C,mg,"0,88","2,21",BRC0154T,Nome não encontrado
Equivalente de folato,mcg,"20,0","50,1",BRC0154T,Nome não encontrado
Sal de adição,g,"0,50","1,25",BRC0154T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0154T,Nome não encontrado
Gordura de adição,g,-,-,BRC0154T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0154T,Nome não encontrado
Proteína animal,g,-,-,BRC0154T,Nome não encontrado
