componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (350 mL),codigo_alimento,nome_alimento
Energia,kJ,154,370,254,540,BRC0156H,Nome não encontrado
Energia,kcal,36,87,60,127,BRC0156H,Nome não encontrado
Umidade,g,"91,2",218,150,319,BRC0156H,Nome não encontrado
Carboidrato total,g,"8,10","19,4","13,4","28,4",BRC0156H,Nome não encontrado
Carboidrato disponível,g,"8,10","19,4","13,4","28,4",BRC0156H,Nome não encontrado
Proteína,g,"0,21","0,50","0,35","0,74",BRC0156H,Nome não encontrado
Lipídios,g,"0,12","0,29","0,20","0,42",BRC0156H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Álcool,g,"0,30","0,72","0,50","1,05",BRC0156H,Nome não encontrado
Cinzas,g,"0,12","0,29","0,20","0,42",BRC0156H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,06","0,04","0,08",BRC0156H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,04","0,02","0,05",BRC0156H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,13","0,09","0,20",BRC0156H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Cálcio,mg,"7,00","16,8","11,6","24,5",BRC0156H,Nome não encontrado
Ferro,mg,"0,06","0,14","0,10","0,21",BRC0156H,Nome não encontrado
Sódio,mg,"13,0","31,2","21,5","45,5",BRC0156H,Nome não encontrado
Magnésio,mg,"7,00","16,8","11,6","24,5",BRC0156H,Nome não encontrado
Fósforo,mg,"16,0","38,4","26,4","56,0",BRC0156H,Nome não encontrado
Potássio,mg,"8,00","19,2","13,2","28,0",BRC0156H,Nome não encontrado
Manganês,mg,"0,01","0,03","0,02","0,05",BRC0156H,Nome não encontrado
Zinco,mg,"0,02","0,05","0,03","0,07",BRC0156H,Nome não encontrado
Cobre,mg,"0,01","0,02","0,01","0,03",BRC0156H,Nome não encontrado
Selênio,mcg,"1,20","2,88","1,98","4,20",BRC0156H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Tiamina,mg,"0,02","0,04","0,03","0,06",BRC0156H,Nome não encontrado
Riboflavina,mg,"0,05","0,12","0,08","0,17",BRC0156H,Nome não encontrado
Niacina,mg,"1,11","2,67","1,84","3,90",BRC0156H,Nome não encontrado
Vitamina B6,mg,"0,03","0,06","0,04","0,09",BRC0156H,Nome não encontrado
Vitamina B12,mcg,"0,02","0,05","0,03","0,07",BRC0156H,Nome não encontrado
Vitamina C,mg,"0,50","1,20","0,83","1,75",BRC0156H,Nome não encontrado
Equivalente de folato,mcg,"14,0","33,6","23,1","49,0",BRC0156H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
Proteína vegetal,g,"0,21","0,50","0,35","0,74",BRC0156H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0156H,Nome não encontrado
