componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,197,472,325,BRC0158H,Nome não encontrado
Energia,kcal,47,112,77,BRC0158H,Nome não encontrado
Umidade,g,"87,9",210,145,BRC0158H,Nome não encontrado
Carboidrato total,g,"11,2","26,9","18,5",BRC0158H,Nome não encontrado
Carboidrato disponível,g,"10,2","24,5","16,8",BRC0158H,Nome não encontrado
Proteína,g,"0,44","1,06","0,73",BRC0158H,Nome não encontrado
Lipídios,g,"0,23","0,55","0,38",BRC0158H,Nome não encontrado
Fibra alimentar,g,"1,01","2,42","1,67",BRC0158H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Cinzas,g,"0,23","0,55","0,38",BRC0158H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,10","0,07",BRC0158H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0158H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,17","0,12",BRC0158H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Cálcio,mg,"10,0","24,0","16,5",BRC0158H,Nome não encontrado
Ferro,mg,"0,17","0,41","0,28",BRC0158H,Nome não encontrado
Sódio,mg,"3,90","9,36","6,44",BRC0158H,Nome não encontrado
Magnésio,mg,"6,57","15,8","10,8",BRC0158H,Nome não encontrado
Fósforo,mg,"11,4","27,5","18,9",BRC0158H,Nome não encontrado
Potássio,mg,127,306,210,BRC0158H,Nome não encontrado
Manganês,mg,"0,17","0,41","0,28",BRC0158H,Nome não encontrado
Zinco,mg,"0,05","0,12","0,08",BRC0158H,Nome não encontrado
Cobre,mg,"0,05","0,12","0,08",BRC0158H,Nome não encontrado
Selênio,mcg,"0,13","0,31","0,21",BRC0158H,Nome não encontrado
Vitamina A (RE),mcg,"6,10","14,6","10,1",BRC0158H,Nome não encontrado
Vitamina A (RAE),mcg,"3,05","7,32","5,03",BRC0158H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","1,25","0,86",BRC0158H,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0158H,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,02",BRC0158H,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0158H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,02",BRC0158H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Vitamina C,mg,"15,6","37,4","25,7",BRC0158H,Nome não encontrado
Equivalente de folato,mcg,"7,56","18,1","12,5",BRC0158H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0158H,Nome não encontrado
Açúcar de adição,g,,,,BRC0158H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0158H,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0158H,Nome não encontrado
Proteína animal,g,-,-,-,BRC0158H,Nome não encontrado
