componente,unidade,Valor por 100g,Dose/ Taça (50 mL),codigo_alimento,nome_alimento
Energia,kJ,993,496,BRC0160H,Nome não encontrado
Energia,kcal,238,118,BRC0160H,Nome não encontrado
Umidade,g,"56,0","28,0",BRC0160H,Nome não encontrado
Carboidrato total,g,"22,9","11,5",BRC0160H,Nome não encontrado
Carboidrato disponível,g,"22,2","11,1",BRC0160H,Nome não encontrado
Proteína,g,"3,60","1,80",BRC0160H,Nome não encontrado
Lipídios,g,"8,53","4,27",BRC0160H,Nome não encontrado
Fibra alimentar,g,"0,76","0,38",BRC0160H,Nome não encontrado
Álcool,g,"8,04","4,02",BRC0160H,Nome não encontrado
Cinzas,g,"0,94","0,47",BRC0160H,Nome não encontrado
Colesterol,mg,"18,6","9,29",BRC0160H,Nome não encontrado
Ácidos graxos saturados,g,"4,33","2,16",BRC0160H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,04","1,02",BRC0160H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,34","0,17",BRC0160H,Nome não encontrado
Ácidos graxos trans,g,"0,22","0,11",BRC0160H,Nome não encontrado
Cálcio,mg,176,"88,1",BRC0160H,Nome não encontrado
Ferro,mg,"0,41","0,21",BRC0160H,Nome não encontrado
Sódio,mg,"89,2","44,6",BRC0160H,Nome não encontrado
Magnésio,mg,"44,3","22,1",BRC0160H,Nome não encontrado
Fósforo,mg,131,"65,7",BRC0160H,Nome não encontrado
Potássio,mg,280,140,BRC0160H,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0160H,Nome não encontrado
Zinco,mg,"1,53","0,76",BRC0160H,Nome não encontrado
Cobre,mg,"0,18","0,09",BRC0160H,Nome não encontrado
Selênio,mcg,"6,83","3,42",BRC0160H,Nome não encontrado
Vitamina A (RE),mcg,"56,8","28,4",BRC0160H,Nome não encontrado
Vitamina A (RAE),mcg,"55,5","27,7",BRC0160H,Nome não encontrado
Vitamina D,mcg,"0,30","0,15",BRC0160H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,10",BRC0160H,Nome não encontrado
Tiamina,mg,"0,15","0,07",BRC0160H,Nome não encontrado
Riboflavina,mg,"0,18","0,09",BRC0160H,Nome não encontrado
Niacina,mg,"2,42","1,21",BRC0160H,Nome não encontrado
Vitamina B6,mg,"0,30","0,15",BRC0160H,Nome não encontrado
Vitamina B12,mcg,"0,20","0,10",BRC0160H,Nome não encontrado
Vitamina C,mg,"5,18","2,59",BRC0160H,Nome não encontrado
Equivalente de folato,mcg,"4,85","2,43",BRC0160H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0160H,Nome não encontrado
Açúcar de adição,g,,traços,BRC0160H,Nome não encontrado
Gordura de adição,g,-,-,BRC0160H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0160H,Nome não encontrado
Proteína animal,g,-,-,BRC0160H,Nome não encontrado
