componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,2164,1082,BRC0163K,Nome não encontrado
Energia,kcal,517,258,BRC0163K,Nome não encontrado
Umidade,g,"2,50","1,25",BRC0163K,Nome não encontrado
Carboidrato total,g,"62,7","31,3",BRC0163K,Nome não encontrado
Carboidrato disponível,g,"62,7","31,3",BRC0163K,Nome não encontrado
Proteína,g,"4,90","2,45",BRC0163K,Nome não encontrado
Lipídios,g,"27,5","13,7",BRC0163K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0163K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0163K,Nome não encontrado
Cinzas,g,"2,50","1,25",BRC0163K,Nome não encontrado
Colesterol,mg,"15,0","7,49",BRC0163K,Nome não encontrado
Ácidos graxos saturados,g,"15,9","7,94",BRC0163K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,07","4,53",BRC0163K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,41",BRC0163K,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,12",BRC0163K,Nome não encontrado
Cálcio,mg,188,"94,4",BRC0163K,Nome não encontrado
Ferro,mg,"1,56","0,78",BRC0163K,Nome não encontrado
Sódio,mg,"76,1","38,1",BRC0163K,Nome não encontrado
Magnésio,mg,"56,4","28,2",BRC0163K,Nome não encontrado
Fósforo,mg,209,104,BRC0163K,Nome não encontrado
Potássio,mg,350,175,BRC0163K,Nome não encontrado
Manganês,mg,"0,30","0,15",BRC0163K,Nome não encontrado
Zinco,mg,"1,05","0,53",BRC0163K,Nome não encontrado
Cobre,mg,"0,31","0,15",BRC0163K,Nome não encontrado
Selênio,mcg,"4,45","2,23",BRC0163K,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0163K,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0163K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0163K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,24",BRC0163K,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0163K,Nome não encontrado
Riboflavina,mg,"0,21","0,11",BRC0163K,Nome não encontrado
Niacina,mg,,traços,BRC0163K,Nome não encontrado
Vitamina B6,mg,,traços,BRC0163K,Nome não encontrado
Vitamina B12,mcg,"0,74","0,37",BRC0163K,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0163K,Nome não encontrado
Equivalente de folato,mcg,"10,9","5,45",BRC0163K,Nome não encontrado
Sal de adição,g,,traços,BRC0163K,Nome não encontrado
Açúcar de adição,g,,traços,BRC0163K,Nome não encontrado
Gordura de adição,g,,traços,BRC0163K,Nome não encontrado
Proteína vegetal,g,,traços,BRC0163K,Nome não encontrado
Proteína animal,g,,traços,BRC0163K,Nome não encontrado
