componente,unidade,Valor por 100g,Xícara chá (200 ml),codigo_alimento,nome_alimento
Energia,kJ,118,236,BRC0164H,Nome não encontrado
Energia,kcal,28,55,BRC0164H,Nome não encontrado
Umidade,g,"92,9",185,BRC0164H,Nome não encontrado
Carboidrato total,g,"5,43","10,9",BRC0164H,Nome não encontrado
Carboidrato disponível,g,"5,28","10,6",BRC0164H,Nome não encontrado
Proteína,g,"0,48","0,95",BRC0164H,Nome não encontrado
Lipídios,g,"0,52","1,04",BRC0164H,Nome não encontrado
Fibra alimentar,g,"0,15","0,30",BRC0164H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0164H,Nome não encontrado
Cinzas,g,"0,33","0,66",BRC0164H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0164H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0164H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,34","0,68",BRC0164H,Nome não encontrado
Ácidos graxos poliinsaturados,g,156,313,BRC0164H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0164H,Nome não encontrado
Cálcio,mg,"60,6",121,BRC0164H,Nome não encontrado
Ferro,mg,"0,10","0,20",BRC0164H,Nome não encontrado
Sódio,mg,"20,0","40,0",BRC0164H,Nome não encontrado
Magnésio,mg,"10,3","20,7",BRC0164H,Nome não encontrado
Fósforo,mg,"32,7","65,5",BRC0164H,Nome não encontrado
Potássio,mg,"91,4",182,BRC0164H,Nome não encontrado
Manganês,mg,"0,16","0,32",BRC0164H,Nome não encontrado
Zinco,mg,"0,07","0,13",BRC0164H,Nome não encontrado
Cobre,mg,"18,5","37,0",BRC0164H,Nome não encontrado
Selênio,mcg,"1,10","2,20",BRC0164H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0164H,Nome não encontrado
Vitamina A (RAE),mcg,"31,5","63,0",BRC0164H,Nome não encontrado
Vitamina D,mcg,"0,50","1,00",BRC0164H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,50",BRC0164H,Nome não encontrado
Tiamina,mg,"13,5","27,0",BRC0164H,Nome não encontrado
Riboflavina,mg,"71,0",142,BRC0164H,Nome não encontrado
Niacina,mg,"0,29","0,58",BRC0164H,Nome não encontrado
Vitamina B6,mg,"19,5","39,0",BRC0164H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0164H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0164H,Nome não encontrado
Equivalente de folato,mcg,"2,00","4,00",BRC0164H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0164H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0164H,Nome não encontrado
Gordura de adição,g,-,-,BRC0164H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0164H,Nome não encontrado
Proteína animal,g,-,-,BRC0164H,Nome não encontrado
