componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,454,BRC0169H,Nome não encontrado
Energia,kcal,109,BRC0169H,Nome não encontrado
Umidade,g,"82,0",BRC0169H,Nome não encontrado
Carboidrato total,g,"4,29",BRC0169H,Nome não encontrado
Carboidrato disponível,g,"4,17",BRC0169H,Nome não encontrado
Proteína,g,"1,11",BRC0169H,Nome não encontrado
Lipídios,g,"0,58",BRC0169H,Nome não encontrado
Fibra alimentar,g,"0,12",BRC0169H,Nome não encontrado
Álcool,g,"11,8",BRC0169H,Nome não encontrado
Cinzas,g,"0,07",BRC0169H,Nome não encontrado
Colesterol,mg,"0,00",BRC0169H,Nome não encontrado
Ácidos graxos saturados,g,"0,00",BRC0169H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00",BRC0169H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00",BRC0169H,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0169H,Nome não encontrado
Cálcio,mg,"5,74",BRC0169H,Nome não encontrado
Ferro,mg,"0,03",BRC0169H,Nome não encontrado
Sódio,mg,"4,59",BRC0169H,Nome não encontrado
Magnésio,mg,"0,97",BRC0169H,Nome não encontrado
Fósforo,mg,"3,67",BRC0169H,Nome não encontrado
Potássio,mg,"14,3",BRC0169H,Nome não encontrado
Manganês,mg,"0,01",BRC0169H,Nome não encontrado
Zinco,mg,"0,03",BRC0169H,Nome não encontrado
Cobre,mg,"0,01",BRC0169H,Nome não encontrado
Selênio,mcg,"0,04",BRC0169H,Nome não encontrado
Vitamina A (RE),mcg,"0,35",BRC0169H,Nome não encontrado
Vitamina A (RAE),mcg,"0,18",BRC0169H,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0169H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02",BRC0169H,Nome não encontrado
Tiamina,mg,"0,03",BRC0169H,Nome não encontrado
Riboflavina,mg,"0,01",BRC0169H,Nome não encontrado
Niacina,mg,traços,BRC0169H,Nome não encontrado
Vitamina B6,mg,traços,BRC0169H,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0169H,Nome não encontrado
Vitamina C,mg,"3,82",BRC0169H,Nome não encontrado
Equivalente de folato,mcg,"0,86",BRC0169H,Nome não encontrado
Sal de adição,g,,BRC0169H,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0169H,Nome não encontrado
Gordura de adição,g,-,BRC0169H,Nome não encontrado
Proteína vegetal,g,-,BRC0169H,Nome não encontrado
Proteína animal,g,-,BRC0169H,Nome não encontrado
