componente,unidade,Valor por 100g,Xícara chá (100 mL),codigo_alimento,nome_alimento
Energia,kJ,152,151,BRC0170C,Nome não encontrado
Energia,kcal,36,35,BRC0170C,Nome não encontrado
Umidade,g,"91,1","91,1",BRC0170C,Nome não encontrado
Carboidrato total,g,"6,74","6,74",BRC0170C,Nome não encontrado
Carboidrato disponível,g,"6,25","6,25",BRC0170C,Nome não encontrado
Proteína,g,"1,39","1,39",BRC0170C,Nome não encontrado
Lipídios,g,"0,49","0,49",BRC0170C,Nome não encontrado
Fibra alimentar,g,"0,49","0,49",BRC0170C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0170C,Nome não encontrado
Cinzas,g,"0,28","0,28",BRC0170C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0170C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01",BRC0170C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,05",BRC0170C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,28","0,28",BRC0170C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0170C,Nome não encontrado
Cálcio,mg,"21,8","21,8",BRC0170C,Nome não encontrado
Ferro,mg,"0,47","0,47",BRC0170C,Nome não encontrado
Sódio,mg,"0,75","0,75",BRC0170C,Nome não encontrado
Magnésio,mg,"15,0","15,0",BRC0170C,Nome não encontrado
Fósforo,mg,"16,5","16,5",BRC0170C,Nome não encontrado
Potássio,mg,121,121,BRC0170C,Nome não encontrado
Manganês,mg,"0,49","0,49",BRC0170C,Nome não encontrado
Zinco,mg,"0,40","0,40",BRC0170C,Nome não encontrado
Cobre,mg,"0,12","0,12",BRC0170C,Nome não encontrado
Selênio,mcg,,,BRC0170C,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0170C,Nome não encontrado
Vitamina A (RAE),mcg,"11,0","11,0",BRC0170C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0170C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,17","1,17",BRC0170C,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0170C,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0170C,Nome não encontrado
Niacina,mg,"0,49","0,49",BRC0170C,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0170C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0170C,Nome não encontrado
Vitamina C,mg,"15,8","15,8",BRC0170C,Nome não encontrado
Equivalente de folato,mcg,"18,8","18,8",BRC0170C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0170C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0170C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0170C,Nome não encontrado
Proteína vegetal,g,"1,39","1,39",BRC0170C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0170C,Nome não encontrado
