componente,unidade,Valor por 100g,Colher sopa cheia (18 g),codigo_alimento,nome_alimento
Energia,kJ,1382,248,BRC0171C,Nome não encontrado
Energia,kcal,326,58,BRC0171C,Nome não encontrado
Umidade,g,"15,4","2,78",BRC0171C,Nome não encontrado
Carboidrato total,g,"79,2","14,3",BRC0171C,Nome não encontrado
Carboidrato disponível,g,"75,5","13,6",BRC0171C,Nome não encontrado
Proteína,g,"3,07","0,55",BRC0171C,Nome não encontrado
Lipídios,g,"0,46","0,08",BRC0171C,Nome não encontrado
Fibra alimentar,g,"3,70","0,67",BRC0171C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0171C,Nome não encontrado
Cinzas,g,"1,86","0,33",BRC0171C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0171C,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,01",BRC0171C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,01",BRC0171C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,01",BRC0171C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0171C,Nome não encontrado
Cálcio,mg,"50,0","9,00",BRC0171C,Nome não encontrado
Ferro,mg,"1,88","0,34",BRC0171C,Nome não encontrado
Sódio,mg,"11,0","1,98",BRC0171C,Nome não encontrado
Magnésio,mg,"32,0","5,76",BRC0171C,Nome não encontrado
Fósforo,mg,101,"18,2",BRC0171C,Nome não encontrado
Potássio,mg,749,134,BRC0171C,Nome não encontrado
Manganês,mg,"0,28","0,05",BRC0171C,Nome não encontrado
Zinco,mg,"0,22","0,04",BRC0171C,Nome não encontrado
Cobre,mg,"0,27","0,05",BRC0171C,Nome não encontrado
Selênio,mcg,,,BRC0171C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0171C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0171C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0171C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12","0,02",BRC0171C,Nome não encontrado
Tiamina,mg,"0,11","0,02",BRC0171C,Nome não encontrado
Riboflavina,mg,"0,13","0,02",BRC0171C,Nome não encontrado
Niacina,mg,"0,77","0,14",BRC0171C,Nome não encontrado
Vitamina B6,mg,"0,17","0,03",BRC0171C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0171C,Nome não encontrado
Vitamina C,mg,"2,30","0,41",BRC0171C,Nome não encontrado
Equivalente de folato,mcg,"5,00","0,90",BRC0171C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0171C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0171C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0171C,Nome não encontrado
Proteína vegetal,g,"3,07","0,55",BRC0171C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0171C,Nome não encontrado
