componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,584,584,BRC0171T,Nome não encontrado
Energia,kcal,140,139,BRC0171T,Nome não encontrado
Umidade,g,"67,4","67,4",BRC0171T,Nome não encontrado
Carboidrato total,g,"13,3","13,3",BRC0171T,Nome não encontrado
Carboidrato disponível,g,"10,2","10,2",BRC0171T,Nome não encontrado
Proteína,g,"11,2","11,2",BRC0171T,Nome não encontrado
Lipídios,g,"5,36","5,36",BRC0171T,Nome não encontrado
Fibra alimentar,g,"3,10","3,10",BRC0171T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0171T,Nome não encontrado
Cinzas,g,"2,70","2,70",BRC0171T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0171T,Nome não encontrado
Ácidos graxos saturados,g,"2,82","2,82",BRC0171T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,81","0,81",BRC0171T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,63","1,63",BRC0171T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0171T,Nome não encontrado
Cálcio,mg,"29,8","29,8",BRC0171T,Nome não encontrado
Ferro,mg,"2,27","2,27",BRC0171T,Nome não encontrado
Sódio,mg,465,465,BRC0171T,Nome não encontrado
Magnésio,mg,"15,1","15,1",BRC0171T,Nome não encontrado
Fósforo,mg,131,131,BRC0171T,Nome não encontrado
Potássio,mg,178,178,BRC0171T,Nome não encontrado
Manganês,mg,"0,10","0,10",BRC0171T,Nome não encontrado
Zinco,mg,"0,79","0,79",BRC0171T,Nome não encontrado
Cobre,mg,"0,14","0,14",BRC0171T,Nome não encontrado
Selênio,mcg,"3,02","3,02",BRC0171T,Nome não encontrado
Vitamina A (RE),mcg,"37,1","37,1",BRC0171T,Nome não encontrado
Vitamina A (RAE),mcg,"18,5","18,5",BRC0171T,Nome não encontrado
Vitamina D,mcg,"0,05","0,05",BRC0171T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,47",BRC0171T,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0171T,Nome não encontrado
Riboflavina,mg,"0,07","0,07",BRC0171T,Nome não encontrado
Niacina,mg,"0,85","0,85",BRC0171T,Nome não encontrado
Vitamina B6,mg,"0,06","0,06",BRC0171T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0171T,Nome não encontrado
Vitamina C,mg,"5,60","5,60",BRC0171T,Nome não encontrado
Equivalente de folato,mcg,"9,26","9,26",BRC0171T,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0171T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0171T,Nome não encontrado
Gordura de adição,g,-,-,BRC0171T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0171T,Nome não encontrado
Proteína animal,g,-,-,BRC0171T,Nome não encontrado
