componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (10 unidade),codigo_alimento,nome_alimento
Energia,kJ,1767,176,BRC0172A,Nome não encontrado
Energia,kcal,418,41,BRC0172A,Nome não encontrado
Umidade,g,"2,67","0,27",BRC0172A,Nome não encontrado
Carboidrato total,g,"74,9","7,49",BRC0172A,Nome não encontrado
Carboidrato disponível,g,"74,9","7,49",BRC0172A,Nome não encontrado
Proteína,g,"11,9","1,19",BRC0172A,Nome não encontrado
Lipídios,g,"7,88","0,79",BRC0172A,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0172A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0172A,Nome não encontrado
Cinzas,g,"2,65","0,27",BRC0172A,Nome não encontrado
Colesterol,mg,,,BRC0172A,Nome não encontrado
Ácidos graxos saturados,g,"2,15","0,21",BRC0172A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","0,19",BRC0172A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,39","0,24",BRC0172A,Nome não encontrado
Ácidos graxos trans,g,"1,07","0,11",BRC0172A,Nome não encontrado
Cálcio,mg,"20,1","2,01",BRC0172A,Nome não encontrado
Ferro,mg,"5,33","0,53",BRC0172A,Nome não encontrado
Sódio,mg,887,"88,8",BRC0172A,Nome não encontrado
Magnésio,mg,"33,8","3,38",BRC0172A,Nome não encontrado
Fósforo,mg,121,"12,2",BRC0172A,Nome não encontrado
Potássio,mg,202,"20,3",BRC0172A,Nome não encontrado
Manganês,mg,"0,59","0,06",BRC0172A,Nome não encontrado
Zinco,mg,"0,97","0,10",BRC0172A,Nome não encontrado
Cobre,mg,traços,traços,BRC0172A,Nome não encontrado
Selênio,mcg,,,BRC0172A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0172A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0172A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0172A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,04",BRC0172A,Nome não encontrado
Tiamina,mg,"0,40","0,04",BRC0172A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0172A,Nome não encontrado
Niacina,mg,traços,traços,BRC0172A,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0172A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0172A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0172A,Nome não encontrado
Equivalente de folato,mcg,268,"26,8",BRC0172A,Nome não encontrado
Sal de adição,g,,,BRC0172A,Nome não encontrado
Açúcar de adição,g,,,BRC0172A,Nome não encontrado
Gordura de adição,g,,,BRC0172A,Nome não encontrado
Proteína vegetal,g,,,BRC0172A,Nome não encontrado
Proteína animal,g,,,BRC0172A,Nome não encontrado
