componente,unidade,Valor por 100g,Colher servir cheia (20 g),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,89,17,177,BRC0174C,Nome não encontrado
Energia,kcal,21,4,41,BRC0174C,Nome não encontrado
Umidade,g,"94,3","18,9",188,BRC0174C,Nome não encontrado
Carboidrato total,g,"5,29","1,06","10,6",BRC0174C,Nome não encontrado
Carboidrato disponível,g,"5,15","1,03","10,3",BRC0174C,Nome não encontrado
Proteína,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Fibra alimentar,g,"0,13","0,03","0,26",BRC0174C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Cinzas,g,"0,46","0,09","0,93",BRC0174C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Cálcio,mg,"18,8","3,77","37,7",BRC0174C,Nome não encontrado
Ferro,mg,traços,traços,,BRC0174C,Nome não encontrado
Sódio,mg,"1,78","0,36","3,56",BRC0174C,Nome não encontrado
Magnésio,mg,"5,16","1,03","10,3",BRC0174C,Nome não encontrado
Fósforo,mg,"3,76","0,75","7,51",BRC0174C,Nome não encontrado
Potássio,mg,161,"32,3",323,BRC0174C,Nome não encontrado
Manganês,mg,"0,25","0,05","0,51",BRC0174C,Nome não encontrado
Zinco,mg,traços,traços,,BRC0174C,Nome não encontrado
Cobre,mg,traços,traços,,BRC0174C,Nome não encontrado
Selênio,mcg,,,,BRC0174C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0174C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0174C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,01",BRC0174C,Nome não encontrado
Riboflavina,mg,traços,traços,,BRC0174C,Nome não encontrado
Niacina,mg,traços,traços,,BRC0174C,Nome não encontrado
Vitamina B6,mg,traços,traços,,BRC0174C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Vitamina C,mg,"2,41","0,48","4,82",BRC0174C,Nome não encontrado
Equivalente de folato,mcg,"3,44","0,69","6,88",BRC0174C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0174C,Nome não encontrado
