componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,826,140,90,198,115,BRC0178A,Nome não encontrado
Energia,kcal,196,33,21,47,27,BRC0178A,Nome não encontrado
Umidade,g,"54,1","9,20","5,95","13,0","7,58",BRC0178A,Nome não encontrado
Carboidrato total,g,"32,6","5,53","3,58","7,81","4,56",BRC0178A,Nome não encontrado
Carboidrato disponível,g,"28,1","4,77","3,09","6,74","3,93",BRC0178A,Nome não encontrado
Proteína,g,"7,53","1,28","0,83","1,81","1,05",BRC0178A,Nome não encontrado
Lipídios,g,"5,00","0,85","0,55","1,20","0,70",BRC0178A,Nome não encontrado
Fibra alimentar,g,"4,47","0,76","0,49","1,07","0,63",BRC0178A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0178A,Nome não encontrado
Cinzas,g,"0,81","0,14","0,09","0,19","0,11",BRC0178A,Nome não encontrado
Colesterol,mg,"10,7","1,82","1,18","2,57","1,50",BRC0178A,Nome não encontrado
Ácidos graxos saturados,g,"2,69","0,46","0,30","0,64","0,38",BRC0178A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,21","0,21","0,13","0,29","0,17",BRC0178A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,41","0,07","0,04","0,10","0,06",BRC0178A,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,02","0,02","0,03","0,02",BRC0178A,Nome não encontrado
Cálcio,mg,"2,41","0,41","0,27","0,58","0,34",BRC0178A,Nome não encontrado
Ferro,mg,"1,30","0,22","0,14","0,31","0,18",BRC0178A,Nome não encontrado
Sódio,mg,"1,46","0,25","0,16","0,35","0,20",BRC0178A,Nome não encontrado
Magnésio,mg,"30,6","5,19","3,36","7,33","4,28",BRC0178A,Nome não encontrado
Fósforo,mg,128,"21,9","14,2","30,9","18,0",BRC0178A,Nome não encontrado
Potássio,mg,210,"35,9","23,2","50,6","29,5",BRC0178A,Nome não encontrado
Manganês,mg,"0,14","0,02","0,01","0,03","0,02",BRC0178A,Nome não encontrado
Zinco,mg,"0,59","0,10","0,06","0,14","0,08",BRC0178A,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01","0,01","0,01",BRC0178A,Nome não encontrado
Selênio,mcg,"0,62","0,11","0,07","0,15","0,09",BRC0178A,Nome não encontrado
Vitamina A (RE),mcg,"94,3","16,0","10,4","22,6","13,2",BRC0178A,Nome não encontrado
Vitamina A (RAE),mcg,"72,5","12,3","7,97","17,4","10,1",BRC0178A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0178A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,03","0,02","0,04","0,02",BRC0178A,Nome não encontrado
Tiamina,mg,"0,31","0,05","0,03","0,07","0,04",BRC0178A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0178A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0178A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,00","0,01","0,01",BRC0178A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,00","0,00","0,00",BRC0178A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0178A,Nome não encontrado
Equivalente de folato,mcg,"51,2","8,70","5,63","12,3","7,17",BRC0178A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0178A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0178A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0178A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0178A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0178A,Nome não encontrado
