componente,unidade,Valor por 100g,Colher servir cheia (25 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,732,183,219,BRC0179K,Nome não encontrado
Energia,kcal,175,43,52,BRC0179K,Nome não encontrado
Umidade,g,"68,9","17,2","20,7",BRC0179K,Nome não encontrado
Carboidrato total,g,"17,3","4,32","5,18",BRC0179K,Nome não encontrado
Carboidrato disponível,g,"17,1","4,28","5,14",BRC0179K,Nome não encontrado
Proteína,g,"2,31","0,58","0,69",BRC0179K,Nome não encontrado
Lipídios,g,"10,8","2,71","3,25",BRC0179K,Nome não encontrado
Fibra alimentar,g,"0,14","0,04","0,04",BRC0179K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0179K,Nome não encontrado
Cinzas,g,"0,70","0,18","0,21",BRC0179K,Nome não encontrado
Colesterol,mg,"30,6","7,65","9,18",BRC0179K,Nome não encontrado
Ácidos graxos saturados,g,"5,00","1,25","1,50",BRC0179K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,82","0,71","0,85",BRC0179K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,15","0,18",BRC0179K,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,06","0,08",BRC0179K,Nome não encontrado
Cálcio,mg,"73,7","18,4","22,1",BRC0179K,Nome não encontrado
Ferro,mg,"0,27","0,07","0,08",BRC0179K,Nome não encontrado
Sódio,mg,"53,4","13,3","16,0",BRC0179K,Nome não encontrado
Magnésio,mg,"7,93","1,98","2,38",BRC0179K,Nome não encontrado
Fósforo,mg,"81,1","20,3","24,3",BRC0179K,Nome não encontrado
Potássio,mg,171,"42,9","51,5",BRC0179K,Nome não encontrado
Manganês,mg,"0,03","0,01","0,01",BRC0179K,Nome não encontrado
Zinco,mg,"0,28","0,07","0,08",BRC0179K,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01",BRC0179K,Nome não encontrado
Selênio,mcg,"0,21","0,05","0,06",BRC0179K,Nome não encontrado
Vitamina A (RE),mcg,"97,5","24,4","29,2",BRC0179K,Nome não encontrado
Vitamina A (RAE),mcg,"79,4","19,9","23,8",BRC0179K,Nome não encontrado
Vitamina D,mcg,"0,46","0,11","0,14",BRC0179K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,08","0,09",BRC0179K,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0179K,Nome não encontrado
Riboflavina,mg,"0,12","0,03","0,04",BRC0179K,Nome não encontrado
Niacina,mg,"0,69","0,17","0,21",BRC0179K,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,01",BRC0179K,Nome não encontrado
Vitamina B12,mcg,"0,11","0,03","0,03",BRC0179K,Nome não encontrado
Vitamina C,mg,"3,83","0,96","1,15",BRC0179K,Nome não encontrado
Equivalente de folato,mcg,"2,24","0,56","0,67",BRC0179K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0179K,Nome não encontrado
Açúcar de adição,g,,,,BRC0179K,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0179K,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0179K,Nome não encontrado
Proteína animal,g,-,-,-,BRC0179K,Nome não encontrado
