componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,357,321,BRC0180T,Nome não encontrado
Energia,kcal,85,76,BRC0180T,Nome não encontrado
Umidade,g,"79,6","71,6",BRC0180T,Nome não encontrado
Carboidrato total,g,"12,7","11,4",BRC0180T,Nome não encontrado
Carboidrato disponível,g,"8,65","7,79",BRC0180T,Nome não encontrado
Proteína,g,"4,33","3,90",BRC0180T,Nome não encontrado
Lipídios,g,"2,81","2,53",BRC0180T,Nome não encontrado
Fibra alimentar,g,"4,01","3,61",BRC0180T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0180T,Nome não encontrado
Cinzas,g,"0,64","0,58",BRC0180T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0180T,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,39",BRC0180T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,88","1,69",BRC0180T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,39",BRC0180T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0180T,Nome não encontrado
Cálcio,mg,"27,7","25,0",BRC0180T,Nome não encontrado
Ferro,mg,"1,20","1,08",BRC0180T,Nome não encontrado
Sódio,mg,"1,43","1,29",BRC0180T,Nome não encontrado
Magnésio,mg,"18,3","16,5",BRC0180T,Nome não encontrado
Fósforo,mg,"74,9","67,4",BRC0180T,Nome não encontrado
Potássio,mg,249,224,BRC0180T,Nome não encontrado
Manganês,mg,"0,33","0,30",BRC0180T,Nome não encontrado
Zinco,mg,"0,82","0,74",BRC0180T,Nome não encontrado
Cobre,mg,"0,14","0,13",BRC0180T,Nome não encontrado
Selênio,mcg,"0,12","0,10",BRC0180T,Nome não encontrado
Vitamina A (RE),mcg,"75,9","68,3",BRC0180T,Nome não encontrado
Vitamina A (RAE),mcg,"37,9","34,1",BRC0180T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0180T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,62","0,56",BRC0180T,Nome não encontrado
Tiamina,mg,"0,06","0,05",BRC0180T,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0180T,Nome não encontrado
Niacina,mg,"0,05","0,04",BRC0180T,Nome não encontrado
Vitamina B6,mg,"0,06","0,05",BRC0180T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0180T,Nome não encontrado
Vitamina C,mg,"8,49","7,64",BRC0180T,Nome não encontrado
Equivalente de folato,mcg,"98,0","88,2",BRC0180T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0180T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0180T,Nome não encontrado
Gordura de adição,g,-,-,BRC0180T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0180T,Nome não encontrado
Proteína animal,g,-,-,BRC0180T,Nome não encontrado
