componente,unidade,Valor por 100g,Colher servir rasa (55 g),Colher sopa cheia (38 g),codigo_alimento,nome_alimento
Energia,kJ,389,214,147,BRC0188C,Nome não encontrado
Energia,kcal,92,50,34,BRC0188C,Nome não encontrado
Umidade,g,"76,0","41,8","28,9",BRC0188C,Nome não encontrado
Carboidrato total,g,"22,6","12,4","8,58",BRC0188C,Nome não encontrado
Carboidrato disponível,g,"20,7","11,4","7,86",BRC0188C,Nome não encontrado
Proteína,g,"0,73","0,40","0,28",BRC0188C,Nome não encontrado
Lipídios,g,"0,27","0,15","0,10",BRC0188C,Nome não encontrado
Fibra alimentar,g,"1,88","1,03","0,71",BRC0188C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Cinzas,g,"0,47","0,26","0,18",BRC0188C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,04","0,03",BRC0188C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,01",BRC0188C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,01","0,00",BRC0188C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Cálcio,mg,"17,4","9,55","6,60",BRC0188C,Nome não encontrado
Ferro,mg,"0,34","0,19","0,13",BRC0188C,Nome não encontrado
Sódio,mg,"1,83","1,01","0,70",BRC0188C,Nome não encontrado
Magnésio,mg,"19,1","10,5","7,27",BRC0188C,Nome não encontrado
Fósforo,mg,"18,3","10,0","6,94",BRC0188C,Nome não encontrado
Potássio,mg,266,146,101,BRC0188C,Nome não encontrado
Manganês,mg,"0,30","0,17","0,11",BRC0188C,Nome não encontrado
Zinco,mg,"0,09","0,05","0,04",BRC0188C,Nome não encontrado
Cobre,mg,"0,20","0,11","0,08",BRC0188C,Nome não encontrado
Selênio,mcg,"0,19","0,11","0,07",BRC0188C,Nome não encontrado
Vitamina A (RE),mcg,"40,4","22,2","15,3",BRC0188C,Nome não encontrado
Vitamina A (RAE),mcg,"20,2","11,1","7,67",BRC0188C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,16","0,11",BRC0188C,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0188C,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01",BRC0188C,Nome não encontrado
Niacina,mg,"0,12","0,07","0,05",BRC0188C,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01",BRC0188C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Vitamina C,mg,"32,4","17,8","12,3",BRC0188C,Nome não encontrado
Equivalente de folato,mcg,"21,1","11,6","8,02",BRC0188C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0188C,Nome não encontrado
Açúcar de adição,g,"8,00","4,40","3,04",BRC0188C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0188C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0188C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0188C,Nome não encontrado
