componente,unidade,Valor por 100g,Colher servir rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,2265,226,BRC0194K,Nome não encontrado
Energia,kcal,542,54,BRC0194K,Nome não encontrado
Umidade,g,"0,33","0,03",BRC0194K,Nome não encontrado
Carboidrato total,g,"67,6","6,76",BRC0194K,Nome não encontrado
Carboidrato disponível,g,"64,3","6,43",BRC0194K,Nome não encontrado
Proteína,g,"1,99","0,20",BRC0194K,Nome não encontrado
Lipídios,g,"30,0","3,00",BRC0194K,Nome não encontrado
Fibra alimentar,g,"3,30","0,33",BRC0194K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0194K,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0194K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0194K,Nome não encontrado
Ácidos graxos saturados,g,"25,6","2,56",BRC0194K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,11","0,21",BRC0194K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,46","0,05",BRC0194K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0194K,Nome não encontrado
Cálcio,mg,"13,0","1,30",BRC0194K,Nome não encontrado
Ferro,mg,"1,78","0,18",BRC0194K,Nome não encontrado
Sódio,mg,,,BRC0194K,Nome não encontrado
Magnésio,mg,"52,0","5,20",BRC0194K,Nome não encontrado
Fósforo,mg,"80,0","8,00",BRC0194K,Nome não encontrado
Potássio,mg,278,"27,8",BRC0194K,Nome não encontrado
Manganês,mg,,,BRC0194K,Nome não encontrado
Zinco,mg,"0,72","0,07",BRC0194K,Nome não encontrado
Cobre,mg,"0,40","0,04",BRC0194K,Nome não encontrado
Selênio,mcg,"1,80","0,18",BRC0194K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0194K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0194K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0194K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,00",BRC0194K,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0194K,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0194K,Nome não encontrado
Niacina,mg,"0,26","0,03",BRC0194K,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0194K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0194K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0194K,Nome não encontrado
Equivalente de folato,mcg,"4,00","0,40",BRC0194K,Nome não encontrado
Sal de adição,g,,,BRC0194K,Nome não encontrado
Açúcar de adição,g,,,BRC0194K,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0194K,Nome não encontrado
Proteína vegetal,g,"1,99","0,20",BRC0194K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0194K,Nome não encontrado
