componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (165 mL),codigo_alimento,nome_alimento
Energia,kJ,109,179,BRC0198C,Nome não encontrado
Energia,kcal,26,42,BRC0198C,Nome não encontrado
Umidade,g,"93,3",153,BRC0198C,Nome não encontrado
Carboidrato total,g,"5,43","8,96",BRC0198C,Nome não encontrado
Carboidrato disponível,g,"4,47","7,38",BRC0198C,Nome não encontrado
Proteína,g,"0,70","1,16",BRC0198C,Nome não encontrado
Lipídios,g,"0,36","0,59",BRC0198C,Nome não encontrado
Fibra alimentar,g,"0,95","1,57",BRC0198C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0198C,Nome não encontrado
Cinzas,g,"0,21","0,35",BRC0198C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0198C,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,15",BRC0198C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,13",BRC0198C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,15",BRC0198C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0198C,Nome não encontrado
Cálcio,mg,"17,5","28,9",BRC0198C,Nome não encontrado
Ferro,mg,"0,19","0,31",BRC0198C,Nome não encontrado
Sódio,mg,"1,13","1,86",BRC0198C,Nome não encontrado
Magnésio,mg,"9,73","16,1",BRC0198C,Nome não encontrado
Fósforo,mg,"12,7","21,0",BRC0198C,Nome não encontrado
Potássio,mg,139,229,BRC0198C,Nome não encontrado
Manganês,mg,"0,13","0,21",BRC0198C,Nome não encontrado
Zinco,mg,"0,11","0,18",BRC0198C,Nome não encontrado
Cobre,mg,"0,03","0,05",BRC0198C,Nome não encontrado
Selênio,mcg,"0,24","0,40",BRC0198C,Nome não encontrado
Vitamina A (RE),mcg,"48,2","79,5",BRC0198C,Nome não encontrado
Vitamina A (RAE),mcg,"24,1","39,8",BRC0198C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0198C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,28",BRC0198C,Nome não encontrado
Tiamina,mg,"0,04","0,07",BRC0198C,Nome não encontrado
Riboflavina,mg,"0,02","0,03",BRC0198C,Nome não encontrado
Niacina,mg,"0,26","0,43",BRC0198C,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0198C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0198C,Nome não encontrado
Vitamina C,mg,"8,16","13,5",BRC0198C,Nome não encontrado
Equivalente de folato,mcg,"7,89","13,0",BRC0198C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0198C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0198C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0198C,Nome não encontrado
Proteína vegetal,g,"0,70","1,16",BRC0198C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0198C,Nome não encontrado
