componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (120 g),codigo_alimento,nome_alimento
Energia,kJ,1112,277,1334,BRC0203A,Nome não encontrado
Energia,kcal,269,67,322,BRC0203A,Nome não encontrado
Umidade,g,"58,4","14,6","70,0",BRC0203A,Nome não encontrado
Carboidrato total,g,"9,75","2,44","11,7",BRC0203A,Nome não encontrado
Carboidrato disponível,g,"8,05","2,01","9,66",BRC0203A,Nome não encontrado
Proteína,g,"6,00","1,50","7,20",BRC0203A,Nome não encontrado
Lipídios,g,"23,2","5,81","27,9",BRC0203A,Nome não encontrado
Fibra alimentar,g,"1,70","0,42","2,04",BRC0203A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0203A,Nome não encontrado
Cinzas,g,"2,67","0,67","3,20",BRC0203A,Nome não encontrado
Colesterol,mg,"44,5","11,1","53,3",BRC0203A,Nome não encontrado
Ácidos graxos saturados,g,"7,50","1,87","9,00",BRC0203A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,67","2,42","11,6",BRC0203A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,73","1,18","5,68",BRC0203A,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,04","0,18",BRC0203A,Nome não encontrado
Cálcio,mg,"46,8","11,7","56,2",BRC0203A,Nome não encontrado
Ferro,mg,"1,44","0,36","1,73",BRC0203A,Nome não encontrado
Sódio,mg,879,219,1055,BRC0203A,Nome não encontrado
Magnésio,mg,"39,3","9,83","47,2",BRC0203A,Nome não encontrado
Fósforo,mg,108,"27,1",130,BRC0203A,Nome não encontrado
Potássio,mg,209,"52,4",251,BRC0203A,Nome não encontrado
Manganês,mg,"0,48","0,12","0,58",BRC0203A,Nome não encontrado
Zinco,mg,"0,85","0,21","1,02",BRC0203A,Nome não encontrado
Cobre,mg,"0,28","0,07","0,33",BRC0203A,Nome não encontrado
Selênio,mcg,"14,1","3,52","16,9",BRC0203A,Nome não encontrado
Vitamina A (RE),mcg,1164,291,1397,BRC0203A,Nome não encontrado
Vitamina A (RAE),mcg,582,145,698,BRC0203A,Nome não encontrado
Vitamina D,mcg,"1,00","0,25","1,20",BRC0203A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,10","0,53","2,52",BRC0203A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0203A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0203A,Nome não encontrado
Niacina,mg,"1,80","0,45","2,16",BRC0203A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0203A,Nome não encontrado
Vitamina B12,mcg,,,,BRC0203A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0203A,Nome não encontrado
Equivalente de folato,mcg,"26,9","6,73","32,3",BRC0203A,Nome não encontrado
Sal de adição,g,,,,BRC0203A,Nome não encontrado
Açúcar de adição,g,,,,BRC0203A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0203A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0203A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0203A,Nome não encontrado
