componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,655,327,654,BRC0206T,Nome não encontrado
Energia,kcal,155,77,155,BRC0206T,Nome não encontrado
Umidade,g,"59,0","29,5","59,0",BRC0206T,Nome não encontrado
Carboidrato total,g,"19,5","9,74","19,5",BRC0206T,Nome não encontrado
Carboidrato disponível,g,"15,6","7,78","15,6",BRC0206T,Nome não encontrado
Proteína,g,"16,5","8,25","16,5",BRC0206T,Nome não encontrado
Lipídios,g,"2,11","1,06","2,11",BRC0206T,Nome não encontrado
Fibra alimentar,g,"3,92","1,96","3,92",BRC0206T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0206T,Nome não encontrado
Cinzas,g,"2,87","1,44","2,87",BRC0206T,Nome não encontrado
Colesterol,mg,"10,2","5,10","10,2",BRC0206T,Nome não encontrado
Ácidos graxos saturados,g,"0,44","0,22","0,44",BRC0206T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","0,31","0,62",BRC0206T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,35","0,68","1,35",BRC0206T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0206T,Nome não encontrado
Cálcio,mg,"41,6","20,8","41,6",BRC0206T,Nome não encontrado
Ferro,mg,"3,07","1,53","3,07",BRC0206T,Nome não encontrado
Sódio,mg,291,145,291,BRC0206T,Nome não encontrado
Magnésio,mg,"15,3","7,65","15,3",BRC0206T,Nome não encontrado
Fósforo,mg,174,"87,5",174,BRC0206T,Nome não encontrado
Potássio,mg,132,"66,0",132,BRC0206T,Nome não encontrado
Manganês,mg,"0,13","0,06","0,13",BRC0206T,Nome não encontrado
Zinco,mg,"0,96","0,48","0,96",BRC0206T,Nome não encontrado
Cobre,mg,"0,06","0,03","0,06",BRC0206T,Nome não encontrado
Selênio,mcg,"2,09","1,05","2,09",BRC0206T,Nome não encontrado
Vitamina A (RE),mcg,"70,7","35,3","70,7",BRC0206T,Nome não encontrado
Vitamina A (RAE),mcg,"37,3","18,6","37,3",BRC0206T,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,05",BRC0206T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,21","0,42",BRC0206T,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,05",BRC0206T,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,03",BRC0206T,Nome não encontrado
Niacina,mg,"0,24","0,12","0,24",BRC0206T,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,05",BRC0206T,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,03",BRC0206T,Nome não encontrado
Vitamina C,mg,"6,53","3,27","6,53",BRC0206T,Nome não encontrado
Equivalente de folato,mcg,"7,48","3,74","7,48",BRC0206T,Nome não encontrado
Sal de adição,g,"0,45","0,23","0,45",BRC0206T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0206T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0206T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0206T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0206T,Nome não encontrado
