componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,586,322,117,BRC0208A,Nome não encontrado
Energia,kcal,138,75,27,BRC0208A,Nome não encontrado
Umidade,g,"66,4","36,5","13,3",BRC0208A,Nome não encontrado
Carboidrato total,g,"29,2","16,1","5,84",BRC0208A,Nome não encontrado
Carboidrato disponível,g,"28,0","15,4","5,60",BRC0208A,Nome não encontrado
Proteína,g,"2,41","1,33","0,48",BRC0208A,Nome não encontrado
Lipídios,g,"1,60","0,88","0,32",BRC0208A,Nome não encontrado
Fibra alimentar,g,"1,28","0,70","0,26",BRC0208A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Cinzas,g,"0,33","0,18","0,07",BRC0208A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,18","0,07",BRC0208A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,33","0,18","0,07",BRC0208A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,42","0,15",BRC0208A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0208A,Nome não encontrado
Cálcio,mg,"5,75","3,16","1,15",BRC0208A,Nome não encontrado
Ferro,mg,"0,33","0,18","0,07",BRC0208A,Nome não encontrado
Sódio,mg,"1,60","0,88","0,32",BRC0208A,Nome não encontrado
Magnésio,mg,"23,7","13,0","4,74",BRC0208A,Nome não encontrado
Fósforo,mg,"22,4","12,3","4,48",BRC0208A,Nome não encontrado
Potássio,mg,"30,2","16,6","6,04",BRC0208A,Nome não encontrado
Manganês,mg,"1,00","0,55","0,20",BRC0208A,Nome não encontrado
Zinco,mg,"0,51","0,28","0,10",BRC0208A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,03",BRC0208A,Nome não encontrado
Selênio,mcg,"1,64","0,90","0,33",BRC0208A,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0208A,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0208A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,04","0,01",BRC0208A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0208A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0208A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0208A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00",BRC0208A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Vitamina C,mg,"0,42","0,23","0,08",BRC0208A,Nome não encontrado
Equivalente de folato,mcg,"2,89","1,59","0,58",BRC0208A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
Gordura de adição,g,"1,20","0,66","0,24",BRC0208A,Nome não encontrado
Proteína vegetal,g,"2,41","1,33","0,48",BRC0208A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0208A,Nome não encontrado
