componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,583,320,116,BRC0209A,Nome não encontrado
Energia,kcal,138,75,27,BRC0209A,Nome não encontrado
Umidade,g,"66,1","36,3","13,2",BRC0209A,Nome não encontrado
Carboidrato total,g,"29,1","16,0","5,83",BRC0209A,Nome não encontrado
Carboidrato disponível,g,"27,9","15,3","5,57",BRC0209A,Nome não encontrado
Proteína,g,"2,40","1,32","0,48",BRC0209A,Nome não encontrado
Lipídios,g,"1,59","0,87","0,32",BRC0209A,Nome não encontrado
Fibra alimentar,g,"1,27","0,70","0,25",BRC0209A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Cinzas,g,"0,80","0,44","0,16",BRC0209A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,18","0,07",BRC0209A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,33","0,18","0,07",BRC0209A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,42","0,15",BRC0209A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0209A,Nome não encontrado
Cálcio,mg,"5,83","3,21","1,17",BRC0209A,Nome não encontrado
Ferro,mg,"0,33","0,18","0,07",BRC0209A,Nome não encontrado
Sódio,mg,189,104,"37,9",BRC0209A,Nome não encontrado
Magnésio,mg,"23,6","13,0","4,73",BRC0209A,Nome não encontrado
Fósforo,mg,"22,3","12,3","4,47",BRC0209A,Nome não encontrado
Potássio,mg,"31,7","17,4","6,34",BRC0209A,Nome não encontrado
Manganês,mg,"0,99","0,55","0,20",BRC0209A,Nome não encontrado
Zinco,mg,"0,51","0,28","0,10",BRC0209A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,03",BRC0209A,Nome não encontrado
Selênio,mcg,"1,64","0,90","0,33",BRC0209A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,10","0,04",BRC0209A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0209A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0209A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0209A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00",BRC0209A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Vitamina C,mg,"0,45","0,25","0,09",BRC0209A,Nome não encontrado
Equivalente de folato,mcg,"2,69","1,48","0,54",BRC0209A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,09",BRC0209A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0209A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0209A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0209A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0209A,Nome não encontrado
