componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,263,39,BRC0211K,Nome não encontrado
Energia,kcal,63,9,BRC0211K,Nome não encontrado
Umidade,g,"85,5","12,8",BRC0211K,Nome não encontrado
Carboidrato total,g,"9,44","1,42",BRC0211K,Nome não encontrado
Carboidrato disponível,g,"7,03","1,05",BRC0211K,Nome não encontrado
Proteína,g,"1,70","0,25",BRC0211K,Nome não encontrado
Lipídios,g,"2,54","0,38",BRC0211K,Nome não encontrado
Fibra alimentar,g,"2,41","0,36",BRC0211K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0211K,Nome não encontrado
Cinzas,g,"0,83","0,12",BRC0211K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0211K,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,06",BRC0211K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,37","0,21",BRC0211K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,00",BRC0211K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0211K,Nome não encontrado
Cálcio,mg,276,"41,5",BRC0211K,Nome não encontrado
Ferro,mg,"1,33","0,20",BRC0211K,Nome não encontrado
Sódio,mg,"78,7","11,8",BRC0211K,Nome não encontrado
Magnésio,mg,"38,2","5,72",BRC0211K,Nome não encontrado
Fósforo,mg,"49,3","7,40",BRC0211K,Nome não encontrado
Potássio,mg,159,"24,0",BRC0211K,Nome não encontrado
Manganês,mg,"0,38","0,06",BRC0211K,Nome não encontrado
Zinco,mg,"0,43","0,06",BRC0211K,Nome não encontrado
Cobre,mg,"0,25","0,04",BRC0211K,Nome não encontrado
Selênio,mcg,"0,82","0,12",BRC0211K,Nome não encontrado
Vitamina A (RE),mcg,"78,8","11,8",BRC0211K,Nome não encontrado
Vitamina A (RAE),mcg,"78,8","11,8",BRC0211K,Nome não encontrado
Vitamina D,mcg,"0,66","0,10",BRC0211K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00",BRC0211K,Nome não encontrado
Tiamina,mg,traços,traços,BRC0211K,Nome não encontrado
Riboflavina,mg,"0,02","0,00",BRC0211K,Nome não encontrado
Niacina,mg,"0,21","0,03",BRC0211K,Nome não encontrado
Vitamina B6,mg,"0,06","0,01",BRC0211K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0211K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0211K,Nome não encontrado
Equivalente de folato,mcg,"2,49","0,37",BRC0211K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0211K,Nome não encontrado
Açúcar de adição,g,,,BRC0211K,Nome não encontrado
Gordura de adição,g,-,-,BRC0211K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0211K,Nome não encontrado
Proteína animal,g,-,-,BRC0211K,Nome não encontrado
