componente,unidade,Valor por 100g,Colher sopa cheia (45 g),Pedaço/ Unidade/ Fatia (M) (370 g),Prato fundo (450 g),Prato raso (350 g),codigo_alimento,nome_alimento
Energia,kJ,661,297,2446,2975,2313,BRC0213C,Nome não encontrado
Energia,kcal,161,72,594,722,562,BRC0213C,Nome não encontrado
Umidade,g,"73,2","33,0",270,329,256,BRC0213C,Nome não encontrado
Carboidrato total,g,"8,53","3,84","31,6","38,4","29,9",BRC0213C,Nome não encontrado
Carboidrato disponível,g,"1,83","0,82","6,77","8,24","6,41",BRC0213C,Nome não encontrado
Proteína,g,"2,00","0,90","7,40","9,00","7,00",BRC0213C,Nome não encontrado
Lipídios,g,"14,7","6,60","54,2","66,0","51,3",BRC0213C,Nome não encontrado
Fibra alimentar,g,"6,70","3,02","24,8","30,2","23,5",BRC0213C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Cinzas,g,"1,58","0,71","5,85","7,11","5,53",BRC0213C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Ácidos graxos saturados,g,"2,13","0,96","7,87","9,57","7,44",BRC0213C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,80","4,41","36,3","44,1","34,3",BRC0213C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,82","0,82","6,72","8,17","6,36",BRC0213C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Cálcio,mg,"12,0","5,40","44,4","54,0","42,0",BRC0213C,Nome não encontrado
Ferro,mg,"0,55","0,25","2,04","2,48","1,93",BRC0213C,Nome não encontrado
Sódio,mg,"7,00","3,15","25,9","31,5","24,5",BRC0213C,Nome não encontrado
Magnésio,mg,"29,0","13,1",107,130,101,BRC0213C,Nome não encontrado
Fósforo,mg,"52,0","23,4",192,234,182,BRC0213C,Nome não encontrado
Potássio,mg,485,218,1794,2182,1697,BRC0213C,Nome não encontrado
Manganês,mg,,,,,,BRC0213C,Nome não encontrado
Zinco,mg,"0,64","0,29","2,37","2,88","2,24",BRC0213C,Nome não encontrado
Cobre,mg,"0,19","0,09","0,70","0,86","0,67",BRC0213C,Nome não encontrado
Selênio,mcg,"0,40","0,18","1,48","1,80","1,40",BRC0213C,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0213C,Nome não encontrado
Vitamina A (RAE),mcg,"7,00","3,15","25,9","31,5","24,5",BRC0213C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,07","0,93","7,66","9,32","7,25",BRC0213C,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,25","0,30","0,23",BRC0213C,Nome não encontrado
Riboflavina,mg,"0,13","0,06","0,48","0,59","0,46",BRC0213C,Nome não encontrado
Niacina,mg,"1,74","0,78","6,43","7,82","6,08",BRC0213C,Nome não encontrado
Vitamina B6,mg,"0,26","0,12","0,95","1,16","0,90",BRC0213C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Vitamina C,mg,"10,00","4,50","37,0","45,0","35,0",BRC0213C,Nome não encontrado
Equivalente de folato,mcg,"81,0","36,5",299,364,283,BRC0213C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
Proteína vegetal,g,"2,00","0,90","7,40","9,00","7,00",BRC0213C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0213C,Nome não encontrado
