componente,unidade,Valor por 100g,Colher sopa cheia (15 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,171,25,17,BRC0224B,Nome não encontrado
Energia,kcal,41,6,4,BRC0224B,Nome não encontrado
Umidade,g,"90,6","13,6","9,06",BRC0224B,Nome não encontrado
Carboidrato total,g,"4,93","0,74","0,49",BRC0224B,Nome não encontrado
Carboidrato disponível,g,"1,89","0,28","0,19",BRC0224B,Nome não encontrado
Proteína,g,"1,28","0,19","0,13",BRC0224B,Nome não encontrado
Lipídios,g,"2,50","0,37","0,25",BRC0224B,Nome não encontrado
Fibra alimentar,g,"3,05","0,46","0,30",BRC0224B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0224B,Nome não encontrado
Cinzas,g,"0,73","0,11","0,07",BRC0224B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0224B,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,06","0,04",BRC0224B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,09","0,06",BRC0224B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","0,22","0,15",BRC0224B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0224B,Nome não encontrado
Cálcio,mg,"76,3","11,4","7,63",BRC0224B,Nome não encontrado
Ferro,mg,"0,20","0,03","0,02",BRC0224B,Nome não encontrado
Sódio,mg,128,"19,2","12,8",BRC0224B,Nome não encontrado
Magnésio,mg,"21,5","3,22","2,15",BRC0224B,Nome não encontrado
Fósforo,mg,"35,9","5,39","3,59",BRC0224B,Nome não encontrado
Potássio,mg,"89,0","13,4","8,90",BRC0224B,Nome não encontrado
Manganês,mg,"0,30","0,04","0,03",BRC0224B,Nome não encontrado
Zinco,mg,"0,32","0,05","0,03",BRC0224B,Nome não encontrado
Cobre,mg,"0,12","0,02","0,01",BRC0224B,Nome não encontrado
Selênio,mcg,"0,19","0,03","0,02",BRC0224B,Nome não encontrado
Vitamina A (RE),mcg,"34,1","5,11","3,41",BRC0224B,Nome não encontrado
Vitamina A (RAE),mcg,"17,0","2,55","1,70",BRC0224B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0224B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,07","0,04",BRC0224B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,00",BRC0224B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0224B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0224B,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0224B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0224B,Nome não encontrado
Vitamina C,mg,"2,60","0,39","0,26",BRC0224B,Nome não encontrado
Equivalente de folato,mcg,"41,7","6,26","4,17",BRC0224B,Nome não encontrado
Sal de adição,g,"0,32","0,05","0,03",BRC0224B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0224B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0224B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0224B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0224B,Nome não encontrado
