componente,unidade,Valor por 100g,Porção Média (110 ),codigo_alimento,nome_alimento
Energia,kJ,411,451,BRC0235E,Nome não encontrado
Energia,kcal,97,106,BRC0235E,Nome não encontrado
Umidade,g,"76,2","83,8",BRC0235E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0235E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0235E,Nome não encontrado
Proteína,g,"20,9","23,0",BRC0235E,Nome não encontrado
Lipídios,g,"1,50","1,65",BRC0235E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0235E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0235E,Nome não encontrado
Cinzas,g,"1,40","1,54",BRC0235E,Nome não encontrado
Colesterol,mg,249,273,BRC0235E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,44",BRC0235E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06","0,07",BRC0235E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,44",BRC0235E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0235E,Nome não encontrado
Cálcio,mg,"14,0","15,4",BRC0235E,Nome não encontrado
Ferro,mg,"1,62","1,78",BRC0235E,Nome não encontrado
Sódio,mg,355,390,BRC0235E,Nome não encontrado
Magnésio,mg,"45,0","49,5",BRC0235E,Nome não encontrado
Fósforo,mg,,,BRC0235E,Nome não encontrado
Potássio,mg,195,214,BRC0235E,Nome não encontrado
Manganês,mg,,,BRC0235E,Nome não encontrado
Zinco,mg,"1,62","1,78",BRC0235E,Nome não encontrado
Cobre,mg,,,BRC0235E,Nome não encontrado
Selênio,mcg,,,BRC0235E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0235E,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0235E,Nome não encontrado
Vitamina D,mcg,,,BRC0235E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0235E,Nome não encontrado
Tiamina,mg,"0,11","0,12",BRC0235E,Nome não encontrado
Riboflavina,mg,"0,05","0,05",BRC0235E,Nome não encontrado
Niacina,mg,"1,78","1,96",BRC0235E,Nome não encontrado
Vitamina B6,mg,,,BRC0235E,Nome não encontrado
Vitamina B12,mcg,,,BRC0235E,Nome não encontrado
Vitamina C,mg,"1,00","1,10",BRC0235E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0235E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0235E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0235E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0235E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0235E,Nome não encontrado
Proteína animal,g,"20,9","23,0",BRC0235E,Nome não encontrado
