componente,unidade,Valor por 100g,Colher sopa rasa (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,247,49,320,BRC0235T,Nome não encontrado
Energia,kcal,59,11,76,BRC0235T,Nome não encontrado
Umidade,g,"84,3","16,9",109,BRC0235T,Nome não encontrado
Carboidrato total,g,"11,4","2,28","14,8",BRC0235T,Nome não encontrado
Carboidrato disponível,g,"7,60","1,52","9,88",BRC0235T,Nome não encontrado
Proteína,g,"2,67","0,53","3,47",BRC0235T,Nome não encontrado
Lipídios,g,"1,13","0,23","1,47",BRC0235T,Nome não encontrado
Fibra alimentar,g,"3,81","0,76","4,95",BRC0235T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0235T,Nome não encontrado
Cinzas,g,"0,48","0,10","0,63",BRC0235T,Nome não encontrado
Colesterol,mg,"0,58","0,12","0,75",BRC0235T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,04","0,25",BRC0235T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,26","0,05","0,34",BRC0235T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,12","0,79",BRC0235T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0235T,Nome não encontrado
Cálcio,mg,"17,6","3,53","22,9",BRC0235T,Nome não encontrado
Ferro,mg,"0,64","0,13","0,83",BRC0235T,Nome não encontrado
Sódio,mg,"2,14","0,43","2,78",BRC0235T,Nome não encontrado
Magnésio,mg,"17,8","3,56","23,1",BRC0235T,Nome não encontrado
Fósforo,mg,"46,8","9,36","60,8",BRC0235T,Nome não encontrado
Potássio,mg,166,"33,2",216,BRC0235T,Nome não encontrado
Manganês,mg,"0,21","0,04","0,27",BRC0235T,Nome não encontrado
Zinco,mg,"0,80","0,16","1,03",BRC0235T,Nome não encontrado
Cobre,mg,"0,23","0,05","0,29",BRC0235T,Nome não encontrado
Selênio,mcg,"1,32","0,26","1,72",BRC0235T,Nome não encontrado
Vitamina A (RE),mcg,"82,3","16,5",107,BRC0235T,Nome não encontrado
Vitamina A (RAE),mcg,"41,3","8,26","53,7",BRC0235T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0235T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,03","0,21","1,34",BRC0235T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0235T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0235T,Nome não encontrado
Niacina,mg,"0,15","0,03","0,19",BRC0235T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0235T,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01",BRC0235T,Nome não encontrado
Vitamina C,mg,"2,95","0,59","3,84",BRC0235T,Nome não encontrado
Equivalente de folato,mcg,"43,1","8,62","56,0",BRC0235T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0235T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0235T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0235T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0235T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0235T,Nome não encontrado
