componente,unidade,Valor por 100g,Copo americano pequeno (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,90,217,149,BRC0243C,Nome não encontrado
Energia,kcal,21,51,35,BRC0243C,Nome não encontrado
Umidade,g,"93,9",225,154,BRC0243C,Nome não encontrado
Carboidrato total,g,"5,39","12,9","8,90",BRC0243C,Nome não encontrado
Carboidrato disponível,g,"4,15","9,96","6,84",BRC0243C,Nome não encontrado
Proteína,g,"0,41","0,99","0,68",BRC0243C,Nome não encontrado
Lipídios,g,"0,08","0,19","0,13",BRC0243C,Nome não encontrado
Fibra alimentar,g,"1,24","2,99","2,05",BRC0243C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Cinzas,g,"0,26","0,62","0,43",BRC0243C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,10","0,07",BRC0243C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0243C,Nome não encontrado
Cálcio,mg,"8,80","21,1","14,5",BRC0243C,Nome não encontrado
Ferro,mg,"0,18","0,43","0,29",BRC0243C,Nome não encontrado
Sódio,mg,"1,59","3,82","2,63",BRC0243C,Nome não encontrado
Magnésio,mg,"9,33","22,4","15,4",BRC0243C,Nome não encontrado
Fósforo,mg,"10,3","24,8","17,0",BRC0243C,Nome não encontrado
Potássio,mg,105,252,173,BRC0243C,Nome não encontrado
Manganês,mg,"0,03","0,07","0,05",BRC0243C,Nome não encontrado
Zinco,mg,"0,10","0,24","0,17",BRC0243C,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03",BRC0243C,Nome não encontrado
Selênio,mcg,"1,80","4,32","2,97",BRC0243C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0243C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0243C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0243C,Nome não encontrado
Tiamina,mg,"0,07","0,16","0,11",BRC0243C,Nome não encontrado
Riboflavina,mg,"0,05","0,12","0,08",BRC0243C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0243C,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0243C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Vitamina C,mg,"7,66","18,4","12,6",BRC0243C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0243C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
Proteína vegetal,g,"0,41","0,99","0,68",BRC0243C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0243C,Nome não encontrado
