componente,unidade,Valor por 100g,Colher servir cheia (75 g),Colher servir rasa (55 g),Colher sopa cheia (40 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,82,61,45,32,20,BRC0247B,Nome não encontrado
Energia,kcal,20,15,11,8,5,BRC0247B,Nome não encontrado
Umidade,g,"92,9","69,7","51,1","37,2","23,2",BRC0247B,Nome não encontrado
Carboidrato total,g,"4,29","3,22","2,36","1,72","1,07",BRC0247B,Nome não encontrado
Carboidrato disponível,g,"1,14","0,86","0,63","0,46","0,29",BRC0247B,Nome não encontrado
Proteína,g,"2,00","1,50","1,10","0,80","0,50",BRC0247B,Nome não encontrado
Lipídios,g,"0,10","0,08","0,06","0,04","0,03",BRC0247B,Nome não encontrado
Fibra alimentar,g,"3,15","2,36","1,73","1,26","0,79",BRC0247B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Cinzas,g,"0,70","0,52","0,38","0,28","0,17",BRC0247B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,03","0,02","0,01","0,01",BRC0247B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,02","0,02","0,01","0,01",BRC0247B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,01","0,00",BRC0247B,Nome não encontrado
Cálcio,mg,"41,9","31,5","23,1","16,8","10,5",BRC0247B,Nome não encontrado
Ferro,mg,"0,51","0,38","0,28","0,20","0,13",BRC0247B,Nome não encontrado
Sódio,mg,"19,8","14,8","10,9","7,91","4,94",BRC0247B,Nome não encontrado
Magnésio,mg,"6,56","4,92","3,61","2,62","1,64",BRC0247B,Nome não encontrado
Fósforo,mg,"32,3","24,2","17,8","12,9","8,07",BRC0247B,Nome não encontrado
Potássio,mg,"94,2","70,6","51,8","37,7","23,5",BRC0247B,Nome não encontrado
Manganês,mg,"0,09","0,07","0,05","0,04","0,02",BRC0247B,Nome não encontrado
Zinco,mg,"0,14","0,11","0,08","0,06","0,04",BRC0247B,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,01","0,01",BRC0247B,Nome não encontrado
Selênio,mcg,"0,10","0,08","0,06","0,04","0,03",BRC0247B,Nome não encontrado
Vitamina A (RE),mcg,"6,21","4,66","3,42","2,48","1,55",BRC0247B,Nome não encontrado
Vitamina A (RAE),mcg,"3,11","2,33","1,71","1,24","0,78",BRC0247B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,05","0,04","0,03","0,02",BRC0247B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03","0,02","0,01",BRC0247B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,01","0,00",BRC0247B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0247B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,02","0,01","0,01",BRC0247B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Vitamina C,mg,"8,99","6,74","4,94","3,60","2,25",BRC0247B,Nome não encontrado
Equivalente de folato,mcg,"4,03","3,02","2,21","1,61","1,01",BRC0247B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
Proteína vegetal,g,"2,00","1,50","1,10","0,80","0,50",BRC0247B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0247B,Nome não encontrado
