componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (20 unidade),codigo_alimento,nome_alimento
Energia,kJ,530,105,BRC0247F,Nome não encontrado
Energia,kcal,127,25,BRC0247F,Nome não encontrado
Umidade,g,"73,3","14,7",BRC0247F,Nome não encontrado
Carboidrato total,g,"1,05","0,21",BRC0247F,Nome não encontrado
Carboidrato disponível,g,"1,05","0,21",BRC0247F,Nome não encontrado
Proteína,g,"15,2","3,05",BRC0247F,Nome não encontrado
Lipídios,g,"6,83","1,37",BRC0247F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0247F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0247F,Nome não encontrado
Cinzas,g,"3,54","0,71",BRC0247F,Nome não encontrado
Colesterol,mg,"39,9","7,97",BRC0247F,Nome não encontrado
Ácidos graxos saturados,g,"1,96","0,39",BRC0247F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,61","0,52",BRC0247F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,20",BRC0247F,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0247F,Nome não encontrado
Cálcio,mg,"12,8","2,55",BRC0247F,Nome não encontrado
Ferro,mg,"0,70","0,14",BRC0247F,Nome não encontrado
Sódio,mg,1044,208,BRC0247F,Nome não encontrado
Magnésio,mg,"17,4","3,49",BRC0247F,Nome não encontrado
Fósforo,mg,280,"56,0",BRC0247F,Nome não encontrado
Potássio,mg,301,"60,3",BRC0247F,Nome não encontrado
Manganês,mg,"0,04","0,01",BRC0247F,Nome não encontrado
Zinco,mg,"1,36","0,27",BRC0247F,Nome não encontrado
Cobre,mg,"0,04","0,01",BRC0247F,Nome não encontrado
Selênio,mcg,"7,20","1,44",BRC0247F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0247F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0247F,Nome não encontrado
Vitamina D,mcg,"0,49","0,10",BRC0247F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,04",BRC0247F,Nome não encontrado
Tiamina,mg,"0,64","0,13",BRC0247F,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0247F,Nome não encontrado
Niacina,mg,"3,87","0,77",BRC0247F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0247F,Nome não encontrado
Vitamina B12,mcg,"0,65","0,13",BRC0247F,Nome não encontrado
Vitamina C,mg,"0,31","0,06",BRC0247F,Nome não encontrado
Equivalente de folato,mcg,"2,42","0,48",BRC0247F,Nome não encontrado
Sal de adição,g,,,BRC0247F,Nome não encontrado
Açúcar de adição,g,,,BRC0247F,Nome não encontrado
Gordura de adição,g,,,BRC0247F,Nome não encontrado
Proteína vegetal,g,,,BRC0247F,Nome não encontrado
Proteína animal,g,,,BRC0247F,Nome não encontrado
