componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,215,43,280,BRC0251E,Nome não encontrado
Energia,kcal,51,10,66,BRC0251E,Nome não encontrado
Umidade,g,"87,4","17,5",113,BRC0251E,Nome não encontrado
Carboidrato total,g,"1,87","0,37","2,43",BRC0251E,Nome não encontrado
Carboidrato disponível,g,"1,49","0,30","1,94",BRC0251E,Nome não encontrado
Proteína,g,"8,11","1,62","10,5",BRC0251E,Nome não encontrado
Lipídios,g,"1,32","0,26","1,72",BRC0251E,Nome não encontrado
Fibra alimentar,g,"0,38","0,08","0,49",BRC0251E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0251E,Nome não encontrado
Cinzas,g,"1,30","0,26","1,68",BRC0251E,Nome não encontrado
Colesterol,mg,"52,5","10,5","68,2",BRC0251E,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,05","0,32",BRC0251E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,06","0,37",BRC0251E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,12","0,76",BRC0251E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0251E,Nome não encontrado
Cálcio,mg,"22,5","4,49","29,2",BRC0251E,Nome não encontrado
Ferro,mg,"3,87","0,77","5,03",BRC0251E,Nome não encontrado
Sódio,mg,334,"66,9",434,BRC0251E,Nome não encontrado
Magnésio,mg,"14,0","2,81","18,2",BRC0251E,Nome não encontrado
Fósforo,mg,"78,7","15,7",102,BRC0251E,Nome não encontrado
Potássio,mg,134,"26,8",174,BRC0251E,Nome não encontrado
Manganês,mg,"0,23","0,05","0,30",BRC0251E,Nome não encontrado
Zinco,mg,"0,85","0,17","1,10",BRC0251E,Nome não encontrado
Cobre,mg,"0,36","0,07","0,47",BRC0251E,Nome não encontrado
Selênio,mcg,"6,78","1,36","8,82",BRC0251E,Nome não encontrado
Vitamina A (RE),mcg,"35,6","7,11","46,2",BRC0251E,Nome não encontrado
Vitamina A (RAE),mcg,"23,5","4,70","30,6",BRC0251E,Nome não encontrado
Vitamina D,mcg,"0,09","0,02","0,12",BRC0251E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,12","0,77",BRC0251E,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0251E,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,04",BRC0251E,Nome não encontrado
Niacina,mg,"0,58","0,12","0,76",BRC0251E,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0251E,Nome não encontrado
Vitamina B12,mcg,"1,47","0,29","1,91",BRC0251E,Nome não encontrado
Vitamina C,mg,"11,4","2,29","14,9",BRC0251E,Nome não encontrado
Equivalente de folato,mcg,"12,8","2,56","16,6",BRC0251E,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0251E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0251E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0251E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0251E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0251E,Nome não encontrado
