componente,unidade,Valor por 100g,Porção Média (40 g),codigo_alimento,nome_alimento
Energia,kJ,1088,435,BRC0261C,Nome não encontrado
Energia,kcal,257,102,BRC0261C,Nome não encontrado
Umidade,g,"30,1","12,0",BRC0261C,Nome não encontrado
Carboidrato total,g,"63,9","25,5",BRC0261C,Nome não encontrado
Carboidrato disponível,g,"54,1","21,6",BRC0261C,Nome não encontrado
Proteína,g,"3,30","1,32",BRC0261C,Nome não encontrado
Lipídios,g,"0,93","0,37",BRC0261C,Nome não encontrado
Fibra alimentar,g,"9,80","3,92",BRC0261C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0261C,Nome não encontrado
Cinzas,g,"1,85","0,74",BRC0261C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0261C,Nome não encontrado
Ácidos graxos saturados,g,"0,14","0,06",BRC0261C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,16","0,06",BRC0261C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,14",BRC0261C,Nome não encontrado
Ácidos graxos trans,g,,,BRC0261C,Nome não encontrado
Cálcio,mg,162,"64,8",BRC0261C,Nome não encontrado
Ferro,mg,"2,03","0,81",BRC0261C,Nome não encontrado
Sódio,mg,"10,00","4,00",BRC0261C,Nome não encontrado
Magnésio,mg,"68,0","27,2",BRC0261C,Nome não encontrado
Fósforo,mg,"67,0","26,8",BRC0261C,Nome não encontrado
Potássio,mg,680,272,BRC0261C,Nome não encontrado
Manganês,mg,,,BRC0261C,Nome não encontrado
Zinco,mg,"0,55","0,22",BRC0261C,Nome não encontrado
Cobre,mg,"0,29","0,11",BRC0261C,Nome não encontrado
Selênio,mcg,"0,60","0,24",BRC0261C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0261C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0261C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0261C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,14",BRC0261C,Nome não encontrado
Tiamina,mg,"0,09","0,03",BRC0261C,Nome não encontrado
Riboflavina,mg,"0,08","0,03",BRC0261C,Nome não encontrado
Niacina,mg,"0,62","0,25",BRC0261C,Nome não encontrado
Vitamina B6,mg,"0,11","0,04",BRC0261C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0261C,Nome não encontrado
Vitamina C,mg,"1,20","0,48",BRC0261C,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0261C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0261C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0261C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0261C,Nome não encontrado
Proteína vegetal,g,"3,30","1,32",BRC0261C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0261C,Nome não encontrado
