componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,493,344,270,BRC0265E,Nome não encontrado
Energia,kcal,118,82,64,BRC0265E,Nome não encontrado
Umidade,g,"72,3","50,6","39,8",BRC0265E,Nome não encontrado
Carboidrato total,g,"13,3","9,34","7,34",BRC0265E,Nome não encontrado
Carboidrato disponível,g,"12,4","8,65","6,79",BRC0265E,Nome não encontrado
Proteína,g,"10,8","7,55","5,93",BRC0265E,Nome não encontrado
Lipídios,g,"2,60","1,82","1,43",BRC0265E,Nome não encontrado
Fibra alimentar,g,"1,00","0,70","0,55",BRC0265E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0265E,Nome não encontrado
Cinzas,g,"1,03","0,72","0,56",BRC0265E,Nome não encontrado
Colesterol,mg,"55,5","38,9","30,5",BRC0265E,Nome não encontrado
Ácidos graxos saturados,g,"0,53","0,37","0,29",BRC0265E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,40","0,31",BRC0265E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,18","0,83","0,65",BRC0265E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0265E,Nome não encontrado
Cálcio,mg,"25,7","18,0","14,1",BRC0265E,Nome não encontrado
Ferro,mg,"4,81","3,37","2,65",BRC0265E,Nome não encontrado
Sódio,mg,138,"97,0","76,2",BRC0265E,Nome não encontrado
Magnésio,mg,"25,2","17,6","13,8",BRC0265E,Nome não encontrado
Fósforo,mg,"94,6","66,2","52,0",BRC0265E,Nome não encontrado
Potássio,mg,174,122,"95,9",BRC0265E,Nome não encontrado
Manganês,mg,"0,69","0,48","0,38",BRC0265E,Nome não encontrado
Zinco,mg,"1,09","0,76","0,60",BRC0265E,Nome não encontrado
Cobre,mg,"0,41","0,29","0,22",BRC0265E,Nome não encontrado
Selênio,mcg,"8,76","6,13","4,82",BRC0265E,Nome não encontrado
Vitamina A (RE),mcg,"6,78","4,75","3,73",BRC0265E,Nome não encontrado
Vitamina A (RAE),mcg,"15,7","11,0","8,64",BRC0265E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,00",BRC0265E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,40","0,31",BRC0265E,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03",BRC0265E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02",BRC0265E,Nome não encontrado
Niacina,mg,"1,27","0,89","0,70",BRC0265E,Nome não encontrado
Vitamina B6,mg,"0,09","0,06","0,05",BRC0265E,Nome não encontrado
Vitamina B12,mcg,"3,98","2,78","2,19",BRC0265E,Nome não encontrado
Vitamina C,mg,"10,5","7,34","5,77",BRC0265E,Nome não encontrado
Equivalente de folato,mcg,"14,5","10,2","8,00",BRC0265E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0265E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0265E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0265E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0265E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0265E,Nome não encontrado
