componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,199,478,329,BRC0268T,Nome não encontrado
Energia,kcal,47,113,78,BRC0268T,Nome não encontrado
Umidade,g,"88,4",212,145,BRC0268T,Nome não encontrado
Carboidrato total,g,"9,02","21,6","14,9",BRC0268T,Nome não encontrado
Carboidrato disponível,g,"7,81","18,7","12,9",BRC0268T,Nome não encontrado
Proteína,g,"0,63","1,52","1,05",BRC0268T,Nome não encontrado
Lipídios,g,"1,25","3,00","2,06",BRC0268T,Nome não encontrado
Fibra alimentar,g,"1,21","2,90","2,00",BRC0268T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0268T,Nome não encontrado
Cinzas,g,"0,69","1,66","1,14",BRC0268T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0268T,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,60","0,41",BRC0268T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,67","1,60","1,10",BRC0268T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25","0,60","0,41",BRC0268T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0268T,Nome não encontrado
Cálcio,mg,105,253,174,BRC0268T,Nome não encontrado
Ferro,mg,"0,43","1,03","0,71",BRC0268T,Nome não encontrado
Sódio,mg,"39,4","94,4","64,9",BRC0268T,Nome não encontrado
Magnésio,mg,"14,2","34,0","23,4",BRC0268T,Nome não encontrado
Fósforo,mg,"12,8","30,7","21,1",BRC0268T,Nome não encontrado
Potássio,mg,146,351,241,BRC0268T,Nome não encontrado
Manganês,mg,"0,15","0,36","0,25",BRC0268T,Nome não encontrado
Zinco,mg,"0,10","0,25","0,17",BRC0268T,Nome não encontrado
Cobre,mg,"0,19","0,44","0,31",BRC0268T,Nome não encontrado
Selênio,mcg,"0,18","0,43","0,30",BRC0268T,Nome não encontrado
Vitamina A (RE),mcg,"33,7","80,9","55,6",BRC0268T,Nome não encontrado
Vitamina A (RAE),mcg,"16,9","40,5","27,8",BRC0268T,Nome não encontrado
Vitamina D,mcg,"0,53","1,28","0,88",BRC0268T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,44","8,25","5,67",BRC0268T,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01",BRC0268T,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,03",BRC0268T,Nome não encontrado
Niacina,mg,"0,15","0,36","0,25",BRC0268T,Nome não encontrado
Vitamina B6,mg,"0,02","0,04","0,03",BRC0268T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0268T,Nome não encontrado
Vitamina C,mg,"19,3","46,4","31,9",BRC0268T,Nome não encontrado
Equivalente de folato,mcg,"15,8","37,9","26,1",BRC0268T,Nome não encontrado
Sal de adição,g,"2,50","6,00","4,13",BRC0268T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0268T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0268T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0268T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0268T,Nome não encontrado
