componente,unidade,Valor por 100g,Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,169,278,BRC0269T,Nome não encontrado
Energia,kcal,40,66,BRC0269T,Nome não encontrado
Umidade,g,"90,3",148,BRC0269T,Nome não encontrado
Carboidrato total,g,"7,16","11,8",BRC0269T,Nome não encontrado
Carboidrato disponível,g,"5,93","9,78",BRC0269T,Nome não encontrado
Proteína,g,"0,63","1,04",BRC0269T,Nome não encontrado
Lipídios,g,"1,28","2,11",BRC0269T,Nome não encontrado
Fibra alimentar,g,"1,24","2,04",BRC0269T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0269T,Nome não encontrado
Cinzas,g,"0,68","1,12",BRC0269T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0269T,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,42",BRC0269T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","1,13",BRC0269T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,42",BRC0269T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0269T,Nome não encontrado
Cálcio,mg,105,173,BRC0269T,Nome não encontrado
Ferro,mg,"0,26","0,43",BRC0269T,Nome não encontrado
Sódio,mg,"39,7","65,4",BRC0269T,Nome não encontrado
Magnésio,mg,"12,8","21,0",BRC0269T,Nome não encontrado
Fósforo,mg,"12,2","20,2",BRC0269T,Nome não encontrado
Potássio,mg,138,228,BRC0269T,Nome não encontrado
Manganês,mg,"0,11","0,18",BRC0269T,Nome não encontrado
Zinco,mg,"0,10","0,16",BRC0269T,Nome não encontrado
Cobre,mg,"0,19","0,31",BRC0269T,Nome não encontrado
Selênio,mcg,"0,16","0,26",BRC0269T,Nome não encontrado
Vitamina A (RE),mcg,"34,5","56,9",BRC0269T,Nome não encontrado
Vitamina A (RAE),mcg,"17,2","28,4",BRC0269T,Nome não encontrado
Vitamina D,mcg,"0,54","0,90",BRC0269T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,51","5,80",BRC0269T,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0269T,Nome não encontrado
Riboflavina,mg,"0,02","0,03",BRC0269T,Nome não encontrado
Niacina,mg,"0,15","0,25",BRC0269T,Nome não encontrado
Vitamina B6,mg,"0,02","0,03",BRC0269T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0269T,Nome não encontrado
Vitamina C,mg,"19,7","32,6",BRC0269T,Nome não encontrado
Equivalente de folato,mcg,"16,1","26,6",BRC0269T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0269T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0269T,Nome não encontrado
Gordura de adição,g,-,-,BRC0269T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0269T,Nome não encontrado
Proteína animal,g,-,-,BRC0269T,Nome não encontrado
