componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,573,BRC0272T,Nome não encontrado
Energia,kcal,136,BRC0272T,Nome não encontrado
Umidade,g,"62,0",BRC0272T,Nome não encontrado
Carboidrato total,g,"19,3",BRC0272T,Nome não encontrado
Carboidrato disponível,g,"15,1",BRC0272T,Nome não encontrado
Proteína,g,"15,1",BRC0272T,Nome não encontrado
Lipídios,g,"0,74",BRC0272T,Nome não encontrado
Fibra alimentar,g,"4,29",BRC0272T,Nome não encontrado
Álcool,g,"0,00",BRC0272T,Nome não encontrado
Cinzas,g,"2,83",BRC0272T,Nome não encontrado
Colesterol,mg,"0,00",BRC0272T,Nome não encontrado
Ácidos graxos saturados,g,"0,18",BRC0272T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24",BRC0272T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62",BRC0272T,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0272T,Nome não encontrado
Cálcio,mg,"43,3",BRC0272T,Nome não encontrado
Ferro,mg,"3,30",BRC0272T,Nome não encontrado
Sódio,mg,421,BRC0272T,Nome não encontrado
Magnésio,mg,"20,0",BRC0272T,Nome não encontrado
Fósforo,mg,172,BRC0272T,Nome não encontrado
Potássio,mg,109,BRC0272T,Nome não encontrado
Manganês,mg,"0,07",BRC0272T,Nome não encontrado
Zinco,mg,"1,01",BRC0272T,Nome não encontrado
Cobre,mg,"0,03",BRC0272T,Nome não encontrado
Selênio,mcg,"0,10",BRC0272T,Nome não encontrado
Vitamina A (RE),mcg,"24,8",BRC0272T,Nome não encontrado
Vitamina A (RAE),mcg,"15,8",BRC0272T,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0272T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25",BRC0272T,Nome não encontrado
Tiamina,mg,"0,15",BRC0272T,Nome não encontrado
Riboflavina,mg,"0,03",BRC0272T,Nome não encontrado
Niacina,mg,"0,61",BRC0272T,Nome não encontrado
Vitamina B6,mg,"0,06",BRC0272T,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0272T,Nome não encontrado
Vitamina C,mg,"9,75",BRC0272T,Nome não encontrado
Equivalente de folato,mcg,"42,2",BRC0272T,Nome não encontrado
Sal de adição,g,"0,00",BRC0272T,Nome não encontrado
Açúcar de adição,g,"0,45",BRC0272T,Nome não encontrado
Gordura de adição,g,-,BRC0272T,Nome não encontrado
Proteína vegetal,g,-,BRC0272T,Nome não encontrado
Proteína animal,g,-,BRC0272T,Nome não encontrado
