componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (28 g),Colher sopa cheia (20 g),Colher sopa rasa (15 g),Escumadeira cheia (110 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,101,45,28,20,15,110,60,BRC0274B,Nome não encontrado
Energia,kcal,24,10,6,4,3,26,14,BRC0274B,Nome não encontrado
Umidade,g,"92,1","41,4","25,8","18,4","13,8",101,"55,2",BRC0274B,Nome não encontrado
Carboidrato total,g,"5,84","2,63","1,63","1,17","0,88","6,42","3,50",BRC0274B,Nome não encontrado
Carboidrato disponível,g,"3,39","1,53","0,95","0,68","0,51","3,73","2,03",BRC0274B,Nome não encontrado
Proteína,g,"0,79","0,35","0,22","0,16","0,12","0,86","0,47",BRC0274B,Nome não encontrado
Lipídios,g,"0,27","0,12","0,08","0,05","0,04","0,30","0,16",BRC0274B,Nome não encontrado
Fibra alimentar,g,"2,45","1,10","0,69","0,49","0,37","2,70","1,47",BRC0274B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Cinzas,g,"1,05","0,47","0,29","0,21","0,16","1,16","0,63",BRC0274B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,02","0,01","0,01","0,01","0,05","0,03",BRC0274B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,01","0,01","0,00","0,03","0,02",BRC0274B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,04","0,02","0,02","0,01","0,09","0,05",BRC0274B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Cálcio,mg,"8,78","3,95","2,46","1,76","1,32","9,66","5,27",BRC0274B,Nome não encontrado
Ferro,mg,"0,34","0,15","0,10","0,07","0,05","0,37","0,20",BRC0274B,Nome não encontrado
Sódio,mg,286,128,"80,2","57,3","43,0",315,171,BRC0274B,Nome não encontrado
Magnésio,mg,"8,20","3,69","2,29","1,64","1,23","9,02","4,92",BRC0274B,Nome não encontrado
Fósforo,mg,"17,4","7,85","4,88","3,49","2,62","19,2","10,5",BRC0274B,Nome não encontrado
Potássio,mg,137,"61,9","38,5","27,5","20,6",151,"82,5",BRC0274B,Nome não encontrado
Manganês,mg,"0,19","0,09","0,05","0,04","0,03","0,21","0,12",BRC0274B,Nome não encontrado
Zinco,mg,"0,11","0,05","0,03","0,02","0,02","0,12","0,07",BRC0274B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01","0,00","0,00","0,02","0,01",BRC0274B,Nome não encontrado
Selênio,mcg,"0,41","0,18","0,11","0,08","0,06","0,45","0,24",BRC0274B,Nome não encontrado
Vitamina A (RE),mcg,"18,7","8,41","5,23","3,74","2,80","20,6","11,2",BRC0274B,Nome não encontrado
Vitamina A (RAE),mcg,"9,35","4,21","2,62","1,87","1,40","10,3","5,61",BRC0274B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,77","0,35","0,22","0,15","0,12","0,85","0,46",BRC0274B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01","0,01","0,00","0,03","0,02",BRC0274B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0274B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0274B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00","0,00","0,00","0,02","0,01",BRC0274B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Vitamina C,mg,"5,46","2,46","1,53","1,09","0,82","6,01","3,28",BRC0274B,Nome não encontrado
Equivalente de folato,mcg,"15,8","7,10","4,42","3,16","2,37","17,4","9,47",BRC0274B,Nome não encontrado
Sal de adição,g,"0,47","0,21","0,13","0,09","0,07","0,52","0,28",BRC0274B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0274B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0274B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0274B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0274B,Nome não encontrado
