componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,213,BRC0299C,Nome não encontrado
Energia,kcal,52,BRC0299C,Nome não encontrado
Umidade,g,"81,6",BRC0299C,Nome não encontrado
Carboidrato total,g,"16,0",BRC0299C,Nome não encontrado
Carboidrato disponível,g,"5,40",BRC0299C,Nome não encontrado
Proteína,g,"1,50",BRC0299C,Nome não encontrado
Lipídios,g,"0,30",BRC0299C,Nome não encontrado
Fibra alimentar,g,"10,6",BRC0299C,Nome não encontrado
Álcool,g,"0,00",BRC0299C,Nome não encontrado
Cinzas,g,"0,60",BRC0299C,Nome não encontrado
Colesterol,mg,"0,00",BRC0299C,Nome não encontrado
Ácidos graxos saturados,g,"0,04",BRC0299C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01",BRC0299C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09",BRC0299C,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0299C,Nome não encontrado
Cálcio,mg,134,BRC0299C,Nome não encontrado
Ferro,mg,"0,80",BRC0299C,Nome não encontrado
Sódio,mg,"6,00",BRC0299C,Nome não encontrado
Magnésio,mg,"15,0",BRC0299C,Nome não encontrado
Fósforo,mg,"12,0",BRC0299C,Nome não encontrado
Potássio,mg,160,BRC0299C,Nome não encontrado
Manganês,mg,,BRC0299C,Nome não encontrado
Zinco,mg,"0,25",BRC0299C,Nome não encontrado
Cobre,mg,"0,09",BRC0299C,Nome não encontrado
Selênio,mcg,"0,70",BRC0299C,Nome não encontrado
Vitamina A (RE),mcg,,BRC0299C,Nome não encontrado
Vitamina A (RAE),mcg,"3,00",BRC0299C,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0299C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25",BRC0299C,Nome não encontrado
Tiamina,mg,"0,06",BRC0299C,Nome não encontrado
Riboflavina,mg,"0,08",BRC0299C,Nome não encontrado
Niacina,mg,"0,40",BRC0299C,Nome não encontrado
Vitamina B6,mg,"0,17",BRC0299C,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0299C,Nome não encontrado
Vitamina C,mg,129,BRC0299C,Nome não encontrado
Equivalente de folato,mcg,"13,0",BRC0299C,Nome não encontrado
Sal de adição,g,"0,00",BRC0299C,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0299C,Nome não encontrado
Gordura de adição,g,"0,00",BRC0299C,Nome não encontrado
Proteína vegetal,g,"1,50",BRC0299C,Nome não encontrado
Proteína animal,g,"0,00",BRC0299C,Nome não encontrado
