componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,679,679,BRC0308E,Nome não encontrado
Energia,kcal,165,165,BRC0308E,Nome não encontrado
Umidade,g,"70,8","70,8",BRC0308E,Nome não encontrado
Carboidrato total,g,"2,11","2,11",BRC0308E,Nome não encontrado
Carboidrato disponível,g,"1,71","1,71",BRC0308E,Nome não encontrado
Proteína,g,"13,8","13,8",BRC0308E,Nome não encontrado
Lipídios,g,"11,1","11,1",BRC0308E,Nome não encontrado
Fibra alimentar,g,"0,41","0,41",BRC0308E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0308E,Nome não encontrado
Cinzas,g,"2,20","2,20",BRC0308E,Nome não encontrado
Colesterol,mg,"95,1","95,1",BRC0308E,Nome não encontrado
Ácidos graxos saturados,g,"2,54","2,54",BRC0308E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,97","4,97",BRC0308E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,57","2,57",BRC0308E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0308E,Nome não encontrado
Cálcio,mg,"24,7","24,7",BRC0308E,Nome não encontrado
Ferro,mg,"0,74","0,74",BRC0308E,Nome não encontrado
Sódio,mg,499,499,BRC0308E,Nome não encontrado
Magnésio,mg,"23,9","23,9",BRC0308E,Nome não encontrado
Fósforo,mg,197,197,BRC0308E,Nome não encontrado
Potássio,mg,305,305,BRC0308E,Nome não encontrado
Manganês,mg,"0,06","0,06",BRC0308E,Nome não encontrado
Zinco,mg,"0,49","0,49",BRC0308E,Nome não encontrado
Cobre,mg,"0,05","0,05",BRC0308E,Nome não encontrado
Selênio,mcg,"3,35","3,35",BRC0308E,Nome não encontrado
Vitamina A (RE),mcg,"67,7","67,7",BRC0308E,Nome não encontrado
Vitamina A (RAE),mcg,"61,3","61,3",BRC0308E,Nome não encontrado
Vitamina D,mcg,"0,30","0,30",BRC0308E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,77","0,77",BRC0308E,Nome não encontrado
Tiamina,mg,"0,16","0,16",BRC0308E,Nome não encontrado
Riboflavina,mg,"0,06","0,06",BRC0308E,Nome não encontrado
Niacina,mg,"2,16","2,16",BRC0308E,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0308E,Nome não encontrado
Vitamina B12,mcg,"2,12","2,12",BRC0308E,Nome não encontrado
Vitamina C,mg,"2,00","2,00",BRC0308E,Nome não encontrado
Equivalente de folato,mcg,"29,2","29,2",BRC0308E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0308E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0308E,Nome não encontrado
Gordura de adição,g,"3,21","3,21",BRC0308E,Nome não encontrado
Proteína vegetal,g,"0,47","0,47",BRC0308E,Nome não encontrado
Proteína animal,g,"13,2","13,2",BRC0308E,Nome não encontrado
