componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (70 g),codigo_alimento,nome_alimento
Energia,kJ,967,241,676,BRC0316B,Nome não encontrado
Energia,kcal,231,57,162,BRC0316B,Nome não encontrado
Umidade,g,"54,8","13,7","38,4",BRC0316B,Nome não encontrado
Carboidrato total,g,"30,3","7,58","21,2",BRC0316B,Nome não encontrado
Carboidrato disponível,g,"27,5","6,88","19,3",BRC0316B,Nome não encontrado
Proteína,g,"1,36","0,34","0,95",BRC0316B,Nome não encontrado
Lipídios,g,"12,3","3,07","8,59",BRC0316B,Nome não encontrado
Fibra alimentar,g,"2,81","0,70","1,97",BRC0316B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Cinzas,g,"1,24","0,31","0,87",BRC0316B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Ácidos graxos saturados,g,"1,89","0,47","1,33",BRC0316B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,87","0,72","2,01",BRC0316B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"7,25","1,81","5,07",BRC0316B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Cálcio,mg,"19,0","4,74","13,3",BRC0316B,Nome não encontrado
Ferro,mg,"0,69","0,17","0,48",BRC0316B,Nome não encontrado
Sódio,mg,"3,36","0,84","2,35",BRC0316B,Nome não encontrado
Magnésio,mg,"12,1","3,03","8,49",BRC0316B,Nome não encontrado
Fósforo,mg,"47,2","11,8","33,0",BRC0316B,Nome não encontrado
Potássio,mg,413,103,289,BRC0316B,Nome não encontrado
Manganês,mg,"0,35","0,09","0,24",BRC0316B,Nome não encontrado
Zinco,mg,"0,61","0,15","0,42",BRC0316B,Nome não encontrado
Cobre,mg,"0,27","0,07","0,19",BRC0316B,Nome não encontrado
Selênio,mcg,"0,52","0,13","0,36",BRC0316B,Nome não encontrado
Vitamina A (RE),mcg,"15,4","3,85","10,8",BRC0316B,Nome não encontrado
Vitamina A (RAE),mcg,"7,70","1,92","5,39",BRC0316B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,12","0,33",BRC0316B,Nome não encontrado
Tiamina,mg,"0,08","0,02","0,05",BRC0316B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0316B,Nome não encontrado
Niacina,mg,"3,01","0,75","2,11",BRC0316B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0316B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Vitamina C,mg,"24,6","6,16","17,2",BRC0316B,Nome não encontrado
Equivalente de folato,mcg,"8,33","2,08","5,83",BRC0316B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
Gordura de adição,g,,,,BRC0316B,Nome não encontrado
Proteína vegetal,g,"1,36","0,34","0,95",BRC0316B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0316B,Nome não encontrado
