componente,unidade,Valor por 100g,Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,317,174,BRC0324N,Nome não encontrado
Energia,kcal,76,41,BRC0324N,Nome não encontrado
Umidade,g,"81,9","45,1",BRC0324N,Nome não encontrado
Carboidrato total,g,"11,4","6,28",BRC0324N,Nome não encontrado
Carboidrato disponível,g,"7,26","3,99",BRC0324N,Nome não encontrado
Proteína,g,"2,91","1,60",BRC0324N,Nome não encontrado
Lipídios,g,"2,99","1,64",BRC0324N,Nome não encontrado
Fibra alimentar,g,"4,17","2,29",BRC0324N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0324N,Nome não encontrado
Cinzas,g,"0,77","0,42",BRC0324N,Nome não encontrado
Colesterol,mg,"0,67","0,37",BRC0324N,Nome não encontrado
Ácidos graxos saturados,g,"0,48","0,26",BRC0324N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","0,38",BRC0324N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,74","0,95",BRC0324N,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0324N,Nome não encontrado
Cálcio,mg,"19,6","10,8",BRC0324N,Nome não encontrado
Ferro,mg,"0,76","0,42",BRC0324N,Nome não encontrado
Sódio,mg,102,"56,2",BRC0324N,Nome não encontrado
Magnésio,mg,"25,7","14,1",BRC0324N,Nome não encontrado
Fósforo,mg,"56,0","30,8",BRC0324N,Nome não encontrado
Potássio,mg,204,112,BRC0324N,Nome não encontrado
Manganês,mg,"0,20","0,11",BRC0324N,Nome não encontrado
Zinco,mg,"0,44","0,24",BRC0324N,Nome não encontrado
Cobre,mg,"0,12","0,07",BRC0324N,Nome não encontrado
Selênio,mcg,"0,28","0,15",BRC0324N,Nome não encontrado
Vitamina A (RE),mcg,256,141,BRC0324N,Nome não encontrado
Vitamina A (RAE),mcg,128,"70,7",BRC0324N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0324N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,46","0,80",BRC0324N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0324N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0324N,Nome não encontrado
Niacina,mg,"0,52","0,29",BRC0324N,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0324N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0324N,Nome não encontrado
Vitamina C,mg,"3,76","2,07",BRC0324N,Nome não encontrado
Equivalente de folato,mcg,"50,1","27,6",BRC0324N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0324N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0324N,Nome não encontrado
Gordura de adição,g,-,-,BRC0324N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0324N,Nome não encontrado
Proteína animal,g,-,-,BRC0324N,Nome não encontrado
