componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,251,100,62,37,125,BRC0333B,Nome não encontrado
Energia,kcal,61,24,15,9,30,BRC0333B,Nome não encontrado
Umidade,g,"89,6","35,8","22,4","13,4","44,8",BRC0333B,Nome não encontrado
Carboidrato total,g,"4,08","1,63","1,02","0,61","2,04",BRC0333B,Nome não encontrado
Carboidrato disponível,g,"2,02","0,81","0,50","0,30","1,01",BRC0333B,Nome não encontrado
Proteína,g,"0,51","0,21","0,13","0,08","0,26",BRC0333B,Nome não encontrado
Lipídios,g,"5,17","2,07","1,29","0,78","2,58",BRC0333B,Nome não encontrado
Fibra alimentar,g,"2,06","0,83","0,52","0,31","1,03",BRC0333B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0333B,Nome não encontrado
Cinzas,g,"0,68","0,27","0,17","0,10","0,34",BRC0333B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0333B,Nome não encontrado
Ácidos graxos saturados,g,"0,76","0,30","0,19","0,11","0,38",BRC0333B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,16","0,46","0,29","0,17","0,58",BRC0333B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,08","1,23","0,77","0,46","1,54",BRC0333B,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,01","0,00","0,01",BRC0333B,Nome não encontrado
Cálcio,mg,"15,9","6,34","3,97","2,38","7,93",BRC0333B,Nome não encontrado
Ferro,mg,"0,17","0,07","0,04","0,03","0,08",BRC0333B,Nome não encontrado
Sódio,mg,132,"53,1","33,2","19,9","66,3",BRC0333B,Nome não encontrado
Magnésio,mg,"8,92","3,57","2,23","1,34","4,46",BRC0333B,Nome não encontrado
Fósforo,mg,"16,5","6,59","4,12","2,47","8,24",BRC0333B,Nome não encontrado
Potássio,mg,219,"87,9","54,9","33,0",109,BRC0333B,Nome não encontrado
Manganês,mg,"0,03","0,01","0,01","0,00","0,01",BRC0333B,Nome não encontrado
Zinco,mg,"0,14","0,06","0,04","0,02","0,07",BRC0333B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,00","0,01",BRC0333B,Nome não encontrado
Selênio,mcg,"0,28","0,11","0,07","0,04","0,14",BRC0333B,Nome não encontrado
Vitamina A (RE),mcg,634,253,158,"95,1",317,BRC0333B,Nome não encontrado
Vitamina A (RAE),mcg,317,126,"79,3","47,6",158,BRC0333B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0333B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,66","0,66","0,41","0,25","0,83",BRC0333B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,01","0,02",BRC0333B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0333B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0333B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,01","0,02",BRC0333B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0333B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0333B,Nome não encontrado
Equivalente de folato,mcg,"7,32","2,93","1,83","1,10","3,66",BRC0333B,Nome não encontrado
Sal de adição,g,"0,32","0,13","0,08","0,05","0,16",BRC0333B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0333B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0333B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0333B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0333B,Nome não encontrado
