componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,558,251,334,BRC0337E,Nome não encontrado
Energia,kcal,132,59,79,BRC0337E,Nome não encontrado
Umidade,g,"68,3","30,7","41,0",BRC0337E,Nome não encontrado
Carboidrato total,g,"23,9","10,8","14,3",BRC0337E,Nome não encontrado
Carboidrato disponível,g,"22,0","9,89","13,2",BRC0337E,Nome não encontrado
Proteína,g,"4,03","1,81","2,42",BRC0337E,Nome não encontrado
Lipídios,g,"2,72","1,22","1,63",BRC0337E,Nome não encontrado
Fibra alimentar,g,"1,94","0,87","1,16",BRC0337E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0337E,Nome não encontrado
Cinzas,g,"1,08","0,49","0,65",BRC0337E,Nome não encontrado
Colesterol,mg,"1,10","0,50","0,66",BRC0337E,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,13","0,17",BRC0337E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,19","0,26",BRC0337E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,90","0,40","0,54",BRC0337E,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02","0,03",BRC0337E,Nome não encontrado
Cálcio,mg,"23,4","10,5","14,1",BRC0337E,Nome não encontrado
Ferro,mg,"0,44","0,20","0,26",BRC0337E,Nome não encontrado
Sódio,mg,203,"91,8",122,BRC0337E,Nome não encontrado
Magnésio,mg,"13,0","5,86","7,81",BRC0337E,Nome não encontrado
Fósforo,mg,"22,7","10,2","13,6",BRC0337E,Nome não encontrado
Potássio,mg,148,"66,9","89,2",BRC0337E,Nome não encontrado
Manganês,mg,"0,42","0,19","0,25",BRC0337E,Nome não encontrado
Zinco,mg,"0,16","0,07","0,10",BRC0337E,Nome não encontrado
Cobre,mg,"0,05","0,02","0,03",BRC0337E,Nome não encontrado
Selênio,mcg,"1,07","0,48","0,64",BRC0337E,Nome não encontrado
Vitamina A (RE),mcg,"41,0","18,5","24,6",BRC0337E,Nome não encontrado
Vitamina A (RAE),mcg,"22,3","10,0","13,4",BRC0337E,Nome não encontrado
Vitamina D,mcg,"0,10","0,04","0,06",BRC0337E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,19","0,25",BRC0337E,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0337E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0337E,Nome não encontrado
Niacina,mg,"0,13","0,06","0,08",BRC0337E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0337E,Nome não encontrado
Vitamina B12,mcg,"0,04","0,02","0,02",BRC0337E,Nome não encontrado
Vitamina C,mg,"2,51","1,13","1,50",BRC0337E,Nome não encontrado
Equivalente de folato,mcg,"14,1","6,33","8,44",BRC0337E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0337E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0337E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0337E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0337E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0337E,Nome não encontrado
