componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,87,34,21,12,BRC0340B,Nome não encontrado
Energia,kcal,21,8,5,3,BRC0340B,Nome não encontrado
Umidade,g,"92,9","37,2","23,2","13,9",BRC0340B,Nome não encontrado
Carboidrato total,g,"5,24","2,10","1,31","0,79",BRC0340B,Nome não encontrado
Carboidrato disponível,g,"2,15","0,86","0,54","0,32",BRC0340B,Nome não encontrado
Proteína,g,"0,82","0,33","0,21","0,12",BRC0340B,Nome não encontrado
Lipídios,g,"0,31","0,12","0,08","0,05",BRC0340B,Nome não encontrado
Fibra alimentar,g,"3,09","1,24","0,77","0,46",BRC0340B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Cinzas,g,"0,74","0,30","0,19","0,11",BRC0340B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,01","0,00","0,00",BRC0340B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,00",BRC0340B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,04","0,03","0,02",BRC0340B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,BRC0340B,Nome não encontrado
Cálcio,mg,"15,2","6,09","3,80","2,28",BRC0340B,Nome não encontrado
Ferro,mg,"0,42","0,17","0,11","0,06",BRC0340B,Nome não encontrado
Sódio,mg,101,"40,7","25,5","15,3",BRC0340B,Nome não encontrado
Magnésio,mg,"9,72","3,89","2,43","1,46",BRC0340B,Nome não encontrado
Fósforo,mg,"20,3","8,11","5,07","3,04",BRC0340B,Nome não encontrado
Potássio,mg,276,110,"69,1","41,4",BRC0340B,Nome não encontrado
Manganês,mg,"0,16","0,06","0,04","0,02",BRC0340B,Nome não encontrado
Zinco,mg,"0,15","0,06","0,04","0,02",BRC0340B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,00",BRC0340B,Nome não encontrado
Selênio,mcg,"0,43","0,17","0,11","0,06",BRC0340B,Nome não encontrado
Vitamina A (RE),mcg,554,221,138,"83,2",BRC0340B,Nome não encontrado
Vitamina A (RAE),mcg,277,110,"69,3","41,6",BRC0340B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,63","0,65","0,41","0,24",BRC0340B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,01",BRC0340B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0340B,Nome não encontrado
Niacina,mg,"1,40","0,56","0,35","0,21",BRC0340B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01",BRC0340B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Vitamina C,mg,"0,63","0,25","0,16","0,09",BRC0340B,Nome não encontrado
Equivalente de folato,mcg,"9,04","3,62","2,26","1,36",BRC0340B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0340B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0340B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0340B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0340B,Nome não encontrado
