componente,unidade,Valor por 100g,Colher sobremesa rasa (20 g),Colher sopa cheia (30 g),Escumadeira cheia (105 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,107,21,32,112,74,BRC0354B,Nome não encontrado
Energia,kcal,26,5,7,26,17,BRC0354B,Nome não encontrado
Umidade,g,"91,3","18,3","27,4","95,9","63,9",BRC0354B,Nome não encontrado
Carboidrato total,g,"5,93","1,19","1,78","6,23","4,15",BRC0354B,Nome não encontrado
Carboidrato disponível,g,"2,34","0,47","0,70","2,45","1,63",BRC0354B,Nome não encontrado
Proteína,g,"1,81","0,36","0,54","1,90","1,26",BRC0354B,Nome não encontrado
Lipídios,g,"0,21","0,04","0,06","0,22","0,15",BRC0354B,Nome não encontrado
Fibra alimentar,g,"3,60","0,72","1,08","3,78","2,52",BRC0354B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Cinzas,g,"0,75","0,15","0,22","0,79","0,52",BRC0354B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01","0,01","0,05","0,03",BRC0354B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,01","0,03","0,02",BRC0354B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,00","0,01","0,02","0,01",BRC0354B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Cálcio,mg,"4,94","0,99","1,48","5,18","3,46",BRC0354B,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,BRC0354B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,BRC0354B,Nome não encontrado
Magnésio,mg,"2,99","0,60","0,90","3,14","2,10",BRC0354B,Nome não encontrado
Fósforo,mg,"12,8","2,56","3,85","13,5","8,98",BRC0354B,Nome não encontrado
Potássio,mg,202,"40,5","60,7",212,141,BRC0354B,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00","0,02","0,01",BRC0354B,Nome não encontrado
Zinco,mg,"0,11","0,02","0,03","0,12","0,08",BRC0354B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,02","0,09","0,06",BRC0354B,Nome não encontrado
Selênio,mcg,"1,78","0,36","0,53","1,87","1,25",BRC0354B,Nome não encontrado
Vitamina A (RE),mcg,515,103,154,540,360,BRC0354B,Nome não encontrado
Vitamina A (RAE),mcg,257,"51,5","77,3",270,180,BRC0354B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,23","0,45","0,67","2,34","1,56",BRC0354B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0354B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0354B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0354B,Nome não encontrado
Vitamina B6,mg,"0,09","0,02","0,03","0,10","0,06",BRC0354B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Vitamina C,mg,"12,5","2,50","3,75","13,1","8,75",BRC0354B,Nome não encontrado
Equivalente de folato,mcg,"11,7","2,33","3,50","12,2","8,16",BRC0354B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
Proteína vegetal,g,"1,81","0,36","0,54","1,90","1,26",BRC0354B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0354B,Nome não encontrado
