componente,unidade,Valor por 100g,Colher café cheia (10 g),codigo_alimento,nome_alimento
Energia,kJ,1140,114,BRC0361E,Nome não encontrado
Energia,kcal,274,27,BRC0361E,Nome não encontrado
Umidade,g,"47,5","4,75",BRC0361E,Nome não encontrado
Carboidrato total,g,"3,50","0,35",BRC0361E,Nome não encontrado
Carboidrato disponível,g,"3,50","0,35",BRC0361E,Nome não encontrado
Proteína,g,"24,6","2,46",BRC0361E,Nome não encontrado
Lipídios,g,"17,9","1,79",BRC0361E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0361E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0361E,Nome não encontrado
Cinzas,g,"6,50","0,65",BRC0361E,Nome não encontrado
Colesterol,mg,588,"58,8",BRC0361E,Nome não encontrado
Ácidos graxos saturados,g,"4,06","0,41",BRC0361E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,63","0,46",BRC0361E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"7,41","0,74",BRC0361E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0361E,Nome não encontrado
Cálcio,mg,275,"27,5",BRC0361E,Nome não encontrado
Ferro,mg,"11,9","1,19",BRC0361E,Nome não encontrado
Sódio,mg,1500,150,BRC0361E,Nome não encontrado
Magnésio,mg,300,"30,0",BRC0361E,Nome não encontrado
Fósforo,mg,356,"35,6",BRC0361E,Nome não encontrado
Potássio,mg,181,"18,1",BRC0361E,Nome não encontrado
Manganês,mg,"0,05","0,01",BRC0361E,Nome não encontrado
Zinco,mg,"0,95","0,10",BRC0361E,Nome não encontrado
Cobre,mg,"0,11","0,01",BRC0361E,Nome não encontrado
Selênio,mcg,"65,5","6,55",BRC0361E,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0361E,Nome não encontrado
Vitamina A (RAE),mcg,271,"27,1",BRC0361E,Nome não encontrado
Vitamina D,mcg,"2,90","0,29",BRC0361E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,89","0,19",BRC0361E,Nome não encontrado
Tiamina,mg,"0,19","0,02",BRC0361E,Nome não encontrado
Riboflavina,mg,"0,62","0,06",BRC0361E,Nome não encontrado
Niacina,mg,"0,12","0,01",BRC0361E,Nome não encontrado
Vitamina B6,mg,"0,32","0,03",BRC0361E,Nome não encontrado
Vitamina B12,mcg,"20,0","2,00",BRC0361E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0361E,Nome não encontrado
Equivalente de folato,mcg,"50,0","5,00",BRC0361E,Nome não encontrado
Sal de adição,g,,,BRC0361E,Nome não encontrado
Açúcar de adição,g,,,BRC0361E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0361E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0361E,Nome não encontrado
Proteína animal,g,"24,6","2,46",BRC0361E,Nome não encontrado
