componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,188,451,310,BRC0363B,Nome não encontrado
Energia,kcal,44,106,73,BRC0363B,Nome não encontrado
Umidade,g,"88,2",211,145,BRC0363B,Nome não encontrado
Carboidrato total,g,"10,9","26,2","18,0",BRC0363B,Nome não encontrado
Carboidrato disponível,g,"10,0","24,0","16,5",BRC0363B,Nome não encontrado
Proteína,g,"0,57","1,36","0,93",BRC0363B,Nome não encontrado
Lipídios,g,"0,03","0,06","0,04",BRC0363B,Nome não encontrado
Fibra alimentar,g,"0,93","2,23","1,54",BRC0363B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Cinzas,g,"0,28","0,67","0,46",BRC0363B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01","0,01",BRC0363B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01","0,01",BRC0363B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,01",BRC0363B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Cálcio,mg,"7,65","18,4","12,6",BRC0363B,Nome não encontrado
Ferro,mg,"0,26","0,63","0,43",BRC0363B,Nome não encontrado
Sódio,mg,"3,68","8,83","6,07",BRC0363B,Nome não encontrado
Magnésio,mg,"8,17","19,6","13,5",BRC0363B,Nome não encontrado
Fósforo,mg,"6,37","15,3","10,5",BRC0363B,Nome não encontrado
Potássio,mg,117,282,194,BRC0363B,Nome não encontrado
Manganês,mg,"0,50","1,20","0,83",BRC0363B,Nome não encontrado
Zinco,mg,"0,16","0,37","0,26",BRC0363B,Nome não encontrado
Cobre,mg,"0,03","0,06","0,04",BRC0363B,Nome não encontrado
Selênio,mcg,"0,06","0,13","0,09",BRC0363B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0363B,Nome não encontrado
Tiamina,mg,"0,01","0,03","0,02",BRC0363B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0363B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0363B,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0363B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Vitamina C,mg,"0,86","2,06","1,42",BRC0363B,Nome não encontrado
Equivalente de folato,mcg,"33,9","81,4","56,0",BRC0363B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0363B,Nome não encontrado
Açúcar de adição,g,"8,00","19,2","13,2",BRC0363B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0363B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0363B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0363B,Nome não encontrado
