componente,unidade,Valor por 100g,Concha cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,317,349,BRC0382E,Nome não encontrado
Energia,kcal,75,82,BRC0382E,Nome não encontrado
Umidade,g,"82,1","90,3",BRC0382E,Nome não encontrado
Carboidrato total,g,"2,73","3,01",BRC0382E,Nome não encontrado
Carboidrato disponível,g,"2,29","2,51",BRC0382E,Nome não encontrado
Proteína,g,"12,1","13,3",BRC0382E,Nome não encontrado
Lipídios,g,"1,86","2,04",BRC0382E,Nome não encontrado
Fibra alimentar,g,"0,45","0,49",BRC0382E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0382E,Nome não encontrado
Cinzas,g,"1,17","1,29",BRC0382E,Nome não encontrado
Colesterol,mg,"66,7","73,4",BRC0382E,Nome não encontrado
Ácidos graxos saturados,g,"0,34","0,38",BRC0382E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,37","0,41",BRC0382E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,88",BRC0382E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0382E,Nome não encontrado
Cálcio,mg,"30,0","33,1",BRC0382E,Nome não encontrado
Ferro,mg,"5,73","6,30",BRC0382E,Nome não encontrado
Sódio,mg,188,207,BRC0382E,Nome não encontrado
Magnésio,mg,"20,7","22,7",BRC0382E,Nome não encontrado
Fósforo,mg,110,121,BRC0382E,Nome não encontrado
Potássio,mg,205,226,BRC0382E,Nome não encontrado
Manganês,mg,227,249,BRC0382E,Nome não encontrado
Zinco,mg,"1,03","1,13",BRC0382E,Nome não encontrado
Cobre,mg,"0,45","0,49",BRC0382E,Nome não encontrado
Selênio,mcg,"14,5","15,9",BRC0382E,Nome não encontrado
Vitamina A (RE),mcg,"22,9","25,2",BRC0382E,Nome não encontrado
Vitamina A (RAE),mcg,"31,2","34,3",BRC0382E,Nome não encontrado
Vitamina D,mcg,"0,06","0,07",BRC0382E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,67","0,74",BRC0382E,Nome não encontrado
Tiamina,mg,"0,05","0,06",BRC0382E,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0382E,Nome não encontrado
Niacina,mg,"0,80","0,88",BRC0382E,Nome não encontrado
Vitamina B6,mg,"0,10","0,11",BRC0382E,Nome não encontrado
Vitamina B12,mcg,"5,13","5,64",BRC0382E,Nome não encontrado
Vitamina C,mg,"10,7","11,8",BRC0382E,Nome não encontrado
Equivalente de folato,mcg,"12,1","13,3",BRC0382E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0382E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0382E,Nome não encontrado
Gordura de adição,g,-,-,BRC0382E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0382E,Nome não encontrado
Proteína animal,g,-,-,BRC0382E,Nome não encontrado
