componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,597,358,268,597,BRC0397E,Nome não encontrado
Energia,kcal,143,85,64,142,BRC0397E,Nome não encontrado
Umidade,g,"71,3","42,8","32,1","71,3",BRC0397E,Nome não encontrado
Carboidrato total,g,"1,05","0,63","0,47","1,05",BRC0397E,Nome não encontrado
Carboidrato disponível,g,"0,55","0,33","0,25","0,55",BRC0397E,Nome não encontrado
Proteína,g,"19,7","11,8","8,86","19,7",BRC0397E,Nome não encontrado
Lipídios,g,"6,73","4,04","3,03","6,73",BRC0397E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0397E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0397E,Nome não encontrado
Cinzas,g,"1,23","0,74","0,55","1,23",BRC0397E,Nome não encontrado
Colesterol,mg,"71,1","42,7","32,0","71,1",BRC0397E,Nome não encontrado
Ácidos graxos saturados,g,"1,51","0,91","0,68","1,51",BRC0397E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,70","1,02","0,77","1,70",BRC0397E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,13","1,88","1,41","3,13",BRC0397E,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02","0,04",BRC0397E,Nome não encontrado
Cálcio,mg,"17,3","10,4","7,78","17,3",BRC0397E,Nome não encontrado
Ferro,mg,"0,49","0,29","0,22","0,49",BRC0397E,Nome não encontrado
Sódio,mg,"72,0","43,2","32,4","72,0",BRC0397E,Nome não encontrado
Magnésio,mg,"28,3","17,0","12,7","28,3",BRC0397E,Nome não encontrado
Fósforo,mg,199,119,"89,8",199,BRC0397E,Nome não encontrado
Potássio,mg,413,248,186,413,BRC0397E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02","0,03",BRC0397E,Nome não encontrado
Zinco,mg,"0,43","0,26","0,19","0,43",BRC0397E,Nome não encontrado
Cobre,mg,"0,06","0,04","0,03","0,06",BRC0397E,Nome não encontrado
Selênio,mcg,"65,8","39,5","29,6","65,8",BRC0397E,Nome não encontrado
Vitamina A (RE),mcg,"82,3","49,4","37,0","82,3",BRC0397E,Nome não encontrado
Vitamina A (RAE),mcg,"72,1","43,3","32,5","72,1",BRC0397E,Nome não encontrado
Vitamina D,mcg,"0,33","0,20","0,15","0,33",BRC0397E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,29","0,77","0,58","1,29",BRC0397E,Nome não encontrado
Tiamina,mg,"0,13","0,08","0,06","0,13",BRC0397E,Nome não encontrado
Riboflavina,mg,"0,06","0,04","0,03","0,06",BRC0397E,Nome não encontrado
Niacina,mg,"2,64","1,59","1,19","2,64",BRC0397E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0397E,Nome não encontrado
Vitamina B12,mcg,"2,22","1,33","1,00","2,22",BRC0397E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0397E,Nome não encontrado
Equivalente de folato,mcg,"16,3","9,80","7,35","16,3",BRC0397E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0397E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0397E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0397E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0397E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0397E,Nome não encontrado
