componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,1418,354,BRC0404A,Nome não encontrado
Energia,kcal,336,83,BRC0404A,Nome não encontrado
Umidade,g,"9,00","2,25",BRC0404A,Nome não encontrado
Carboidrato total,g,"74,9","18,7",BRC0404A,Nome não encontrado
Carboidrato disponível,g,"62,4","15,6",BRC0404A,Nome não encontrado
Proteína,g,"12,3","3,07",BRC0404A,Nome não encontrado
Lipídios,g,"1,33","0,33",BRC0404A,Nome não encontrado
Fibra alimentar,g,"12,5","3,13",BRC0404A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0404A,Nome não encontrado
Cinzas,g,"2,51","0,63",BRC0404A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0404A,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,06",BRC0404A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,04",BRC0404A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,14",BRC0404A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0404A,Nome não encontrado
Cálcio,mg,"35,0","8,75",BRC0404A,Nome não encontrado
Ferro,mg,"2,46","0,62",BRC0404A,Nome não encontrado
Sódio,mg,"17,0","4,25",BRC0404A,Nome não encontrado
Magnésio,mg,164,"41,0",BRC0404A,Nome não encontrado
Fósforo,mg,300,"75,0",BRC0404A,Nome não encontrado
Potássio,mg,410,102,BRC0404A,Nome não encontrado
Manganês,mg,"3,05","0,76",BRC0404A,Nome não encontrado
Zinco,mg,"1,93","0,48",BRC0404A,Nome não encontrado
Cobre,mg,"0,34","0,09",BRC0404A,Nome não encontrado
Selênio,mcg,,,BRC0404A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0404A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0404A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0404A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,02",BRC0404A,Nome não encontrado
Tiamina,mg,"0,23","0,06",BRC0404A,Nome não encontrado
Riboflavina,mg,"0,12","0,03",BRC0404A,Nome não encontrado
Niacina,mg,"5,11","1,28",BRC0404A,Nome não encontrado
Vitamina B6,mg,"0,34","0,09",BRC0404A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0404A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0404A,Nome não encontrado
Equivalente de folato,mcg,"27,0","6,75",BRC0404A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0404A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0404A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0404A,Nome não encontrado
Proteína vegetal,g,"12,3","3,07",BRC0404A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0404A,Nome não encontrado
