componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher sobremesa rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,501,300,225,500,BRC0419E,Nome não encontrado
Energia,kcal,118,71,53,118,BRC0419E,Nome não encontrado
Umidade,g,"70,9","42,6","31,9","70,9",BRC0419E,Nome não encontrado
Carboidrato total,g,"0,46","0,28","0,21","0,46",BRC0419E,Nome não encontrado
Carboidrato disponível,g,"0,05","0,03","0,02","0,05",BRC0419E,Nome não encontrado
Proteína,g,"25,1","15,1","11,3","25,1",BRC0419E,Nome não encontrado
Lipídios,g,"1,89","1,13","0,85","1,89",BRC0419E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0419E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0419E,Nome não encontrado
Cinzas,g,"1,60","0,96","0,72","1,60",BRC0419E,Nome não encontrado
Colesterol,mg,"46,1","27,6","20,7","46,1",BRC0419E,Nome não encontrado
Ácidos graxos saturados,g,"0,64","0,39","0,29","0,64",BRC0419E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,26","0,20","0,43",BRC0419E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,37","0,28","0,62",BRC0419E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0419E,Nome não encontrado
Cálcio,mg,"9,36","5,61","4,21","9,36",BRC0419E,Nome não encontrado
Ferro,mg,"1,32","0,79","0,60","1,32",BRC0419E,Nome não encontrado
Sódio,mg,110,"66,0","49,5",110,BRC0419E,Nome não encontrado
Magnésio,mg,"34,3","20,6","15,4","34,3",BRC0419E,Nome não encontrado
Fósforo,mg,252,151,113,252,BRC0419E,Nome não encontrado
Potássio,mg,358,214,161,358,BRC0419E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0419E,Nome não encontrado
Zinco,mg,"0,44","0,26","0,20","0,44",BRC0419E,Nome não encontrado
Cobre,mg,"0,11","0,07","0,05","0,11",BRC0419E,Nome não encontrado
Selênio,mcg,"29,8","17,9","13,4","29,8",BRC0419E,Nome não encontrado
Vitamina A (RE),mcg,"44,9","27,0","20,2","44,9",BRC0419E,Nome não encontrado
Vitamina A (RAE),mcg,"31,3","18,8","14,1","31,3",BRC0419E,Nome não encontrado
Vitamina D,mcg,"0,88","0,53","0,40","0,88",BRC0419E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,24","0,18","0,41",BRC0419E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0419E,Nome não encontrado
Riboflavina,mg,"0,04","0,03","0,02","0,04",BRC0419E,Nome não encontrado
Niacina,mg,"5,44","3,26","2,45","5,44",BRC0419E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0419E,Nome não encontrado
Vitamina B12,mcg,"6,91","4,14","3,11","6,91",BRC0419E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0419E,Nome não encontrado
Equivalente de folato,mcg,"12,3","7,38","5,54","12,3",BRC0419E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0419E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0419E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0419E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0419E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0419E,Nome não encontrado
