componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,527,289,BRC0436N,Nome não encontrado
Energia,kcal,126,69,BRC0436N,Nome não encontrado
Umidade,g,"75,3","41,4",BRC0436N,Nome não encontrado
Carboidrato total,g,"5,77","3,17",BRC0436N,Nome não encontrado
Carboidrato disponível,g,"4,84","2,66",BRC0436N,Nome não encontrado
Proteína,g,"11,8","6,49",BRC0436N,Nome não encontrado
Lipídios,g,"6,40","3,52",BRC0436N,Nome não encontrado
Fibra alimentar,g,"0,93","0,51",BRC0436N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0436N,Nome não encontrado
Cinzas,g,"0,76","0,42",BRC0436N,Nome não encontrado
Colesterol,mg,"41,5","22,8",BRC0436N,Nome não encontrado
Ácidos graxos saturados,g,"2,46","1,35",BRC0436N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,91","1,60",BRC0436N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,23",BRC0436N,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0436N,Nome não encontrado
Cálcio,mg,"16,8","9,22",BRC0436N,Nome não encontrado
Ferro,mg,"1,11","0,61",BRC0436N,Nome não encontrado
Sódio,mg,122,"67,5",BRC0436N,Nome não encontrado
Magnésio,mg,"9,65","5,31",BRC0436N,Nome não encontrado
Fósforo,mg,"79,3","43,6",BRC0436N,Nome não encontrado
Potássio,mg,156,"86,0",BRC0436N,Nome não encontrado
Manganês,mg,"0,06","0,03",BRC0436N,Nome não encontrado
Zinco,mg,"3,20","1,76",BRC0436N,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0436N,Nome não encontrado
Selênio,mcg,"0,35","0,19",BRC0436N,Nome não encontrado
Vitamina A (RE),mcg,"90,5","49,8",BRC0436N,Nome não encontrado
Vitamina A (RAE),mcg,"45,5","25,0",BRC0436N,Nome não encontrado
Vitamina D,mcg,"1,06","0,58",BRC0436N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,28",BRC0436N,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0436N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0436N,Nome não encontrado
Niacina,mg,"0,84","0,46",BRC0436N,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0436N,Nome não encontrado
Vitamina B12,mcg,"1,03","0,57",BRC0436N,Nome não encontrado
Vitamina C,mg,"9,68","5,32",BRC0436N,Nome não encontrado
Equivalente de folato,mcg,"29,8","16,4",BRC0436N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0436N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0436N,Nome não encontrado
Gordura de adição,g,-,-,BRC0436N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0436N,Nome não encontrado
Proteína animal,g,-,-,BRC0436N,Nome não encontrado
