componente,unidade,Valor por 100g,Colher sopa cheia (55 g),Colher sopa rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,776,426,310,BRC0458A,Nome não encontrado
Energia,kcal,186,102,74,BRC0458A,Nome não encontrado
Umidade,g,"64,6","35,6","25,9",BRC0458A,Nome não encontrado
Carboidrato total,g,"15,2","8,34","6,06",BRC0458A,Nome não encontrado
Carboidrato disponível,g,"14,5","7,99","5,81",BRC0458A,Nome não encontrado
Proteína,g,"8,97","4,93","3,59",BRC0458A,Nome não encontrado
Lipídios,g,"10,0","5,53","4,02",BRC0458A,Nome não encontrado
Fibra alimentar,g,"0,64","0,35","0,25",BRC0458A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0458A,Nome não encontrado
Cinzas,g,"1,18","0,65","0,47",BRC0458A,Nome não encontrado
Colesterol,mg,256,141,102,BRC0458A,Nome não encontrado
Ácidos graxos saturados,g,"2,21","1,22","0,88",BRC0458A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,01","1,66","1,21",BRC0458A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,83","1,56","1,13",BRC0458A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0458A,Nome não encontrado
Cálcio,mg,"39,2","21,6","15,7",BRC0458A,Nome não encontrado
Ferro,mg,"1,21","0,66","0,48",BRC0458A,Nome não encontrado
Sódio,mg,271,149,108,BRC0458A,Nome não encontrado
Magnésio,mg,"19,9","10,9","7,96",BRC0458A,Nome não encontrado
Fósforo,mg,221,121,"88,6",BRC0458A,Nome não encontrado
Potássio,mg,107,"59,1","43,0",BRC0458A,Nome não encontrado
Manganês,mg,"0,50","0,27","0,20",BRC0458A,Nome não encontrado
Zinco,mg,"0,98","0,54","0,39",BRC0458A,Nome não encontrado
Cobre,mg,"0,10","0,05","0,04",BRC0458A,Nome não encontrado
Selênio,mcg,"20,5","11,3","8,21",BRC0458A,Nome não encontrado
Vitamina A (RE),mcg,"50,9","28,0","20,4",BRC0458A,Nome não encontrado
Vitamina A (RAE),mcg,"48,8","26,8","19,5",BRC0458A,Nome não encontrado
Vitamina D,mcg,"1,37","0,75","0,55",BRC0458A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,91","0,50","0,36",BRC0458A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0458A,Nome não encontrado
Riboflavina,mg,"0,16","0,09","0,06",BRC0458A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0458A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0458A,Nome não encontrado
Vitamina B12,mcg,"0,58","0,32","0,23",BRC0458A,Nome não encontrado
Vitamina C,mg,"0,22","0,12","0,09",BRC0458A,Nome não encontrado
Equivalente de folato,mcg,"31,7","17,4","12,7",BRC0458A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0458A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0458A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0458A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0458A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0458A,Nome não encontrado
