componente,unidade,Valor por 100g,Colher sopa rasa (20 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,101,20,50,BRC0462B,Nome não encontrado
Energia,kcal,24,4,12,BRC0462B,Nome não encontrado
Umidade,g,"92,6","18,5","46,3",BRC0462B,Nome não encontrado
Carboidrato total,g,"4,11","0,82","2,06",BRC0462B,Nome não encontrado
Carboidrato disponível,g,"2,11","0,42","1,06",BRC0462B,Nome não encontrado
Proteína,g,"2,40","0,48","1,20",BRC0462B,Nome não encontrado
Lipídios,g,"0,22","0,04","0,11",BRC0462B,Nome não encontrado
Fibra alimentar,g,"2,00","0,40","1,00",BRC0462B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Cinzas,g,"0,64","0,13","0,32",BRC0462B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01","0,02",BRC0462B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,02","0,05",BRC0462B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Cálcio,mg,"23,0","4,60","11,5",BRC0462B,Nome não encontrado
Ferro,mg,"0,91","0,18","0,46",BRC0462B,Nome não encontrado
Sódio,mg,"14,0","2,80","7,00",BRC0462B,Nome não encontrado
Magnésio,mg,"14,0","2,80","7,00",BRC0462B,Nome não encontrado
Fósforo,mg,"54,0","10,8","27,0",BRC0462B,Nome não encontrado
Potássio,mg,224,"44,8",112,BRC0462B,Nome não encontrado
Manganês,mg,"0,15","0,03","0,08",BRC0462B,Nome não encontrado
Zinco,mg,"0,60","0,12","0,30",BRC0462B,Nome não encontrado
Cobre,mg,"0,17","0,03","0,09",BRC0462B,Nome não encontrado
Selênio,mcg,,,traços,BRC0462B,Nome não encontrado
Vitamina A (RE),mcg,,,traços,BRC0462B,Nome não encontrado
Vitamina A (RAE),mcg,"50,0","10,00","25,0",BRC0462B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,50","0,30","0,75",BRC0462B,Nome não encontrado
Tiamina,mg,"0,16","0,03","0,08",BRC0462B,Nome não encontrado
Riboflavina,mg,"0,14","0,03","0,07",BRC0462B,Nome não encontrado
Niacina,mg,"1,08","0,22","0,54",BRC0462B,Nome não encontrado
Vitamina B6,mg,"0,08","0,02","0,04",BRC0462B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Vitamina C,mg,"7,70","1,54","3,85",BRC0462B,Nome não encontrado
Equivalente de folato,mcg,149,"29,8","74,5",BRC0462B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
Proteína vegetal,g,"2,40","0,48","1,20",BRC0462B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0462B,Nome não encontrado
