componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,760,26,15,60,22,159,83,167,129,BRC0468E,Nome não encontrado
Energia,kcal,183,6,3,14,5,38,20,40,31,BRC0468E,Nome não encontrado
Umidade,g,"67,7","2,37","1,35","5,41","2,03","14,2","7,44","14,9","11,5",BRC0468E,Nome não encontrado
Carboidrato total,g,"7,00","0,24","0,14","0,56","0,21","1,47","0,77","1,54","1,19",BRC0468E,Nome não encontrado
Carboidrato disponível,g,"6,47","0,23","0,13","0,52","0,19","1,36","0,71","1,42","1,10",BRC0468E,Nome não encontrado
Proteína,g,"10,6","0,37","0,21","0,85","0,32","2,22","1,16","2,32","1,80",BRC0468E,Nome não encontrado
Lipídios,g,"12,7","0,44","0,25","1,02","0,38","2,67","1,40","2,80","2,16",BRC0468E,Nome não encontrado
Fibra alimentar,g,"0,52","0,02","0,01","0,04","0,02","0,11","0,06","0,12","0,09",BRC0468E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0468E,Nome não encontrado
Cinzas,g,"2,05","0,07","0,04","0,16","0,06","0,43","0,23","0,45","0,35",BRC0468E,Nome não encontrado
Colesterol,mg,"36,8","1,29","0,74","2,94","1,10","7,72","4,05","8,09","6,25",BRC0468E,Nome não encontrado
Ácidos graxos saturados,g,"1,79","0,06","0,04","0,14","0,05","0,38","0,20","0,39","0,30",BRC0468E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,66","0,09","0,05","0,21","0,08","0,56","0,29","0,58","0,45",BRC0468E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,43","0,23","0,13","0,51","0,19","1,35","0,71","1,41","1,09",BRC0468E,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0468E,Nome não encontrado
Cálcio,mg,"16,0","0,56","0,32","1,28","0,48","3,36","1,76","3,52","2,72",BRC0468E,Nome não encontrado
Ferro,mg,"0,71","0,02","0,01","0,06","0,02","0,15","0,08","0,16","0,12",BRC0468E,Nome não encontrado
Sódio,mg,599,"21,0","12,0","47,9","18,0",125,"65,9",131,101,BRC0468E,Nome não encontrado
Magnésio,mg,"16,2","0,57","0,32","1,30","0,49","3,40","1,78","3,57","2,76",BRC0468E,Nome não encontrado
Fósforo,mg,"97,0","3,39","1,94","7,76","2,91","20,4","10,7","21,3","16,5",BRC0468E,Nome não encontrado
Potássio,mg,195,"6,86","3,92","15,7","5,88","41,1","21,5","43,1","33,3",BRC0468E,Nome não encontrado
Manganês,mg,"0,12","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0468E,Nome não encontrado
Zinco,mg,"0,37","0,01","0,01","0,03","0,01","0,08","0,04","0,08","0,06",BRC0468E,Nome não encontrado
Cobre,mg,"0,04","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0468E,Nome não encontrado
Selênio,mcg,"21,4","0,75","0,43","1,71","0,64","4,49","2,35","4,70","3,63",BRC0468E,Nome não encontrado
Vitamina A (RE),mcg,"38,6","1,35","0,77","3,09","1,16","8,11","4,25","8,50","6,57",BRC0468E,Nome não encontrado
Vitamina A (RAE),mcg,"20,7","0,72","0,41","1,65","0,62","4,34","2,27","4,55","3,51",BRC0468E,Nome não encontrado
Vitamina D,mcg,"2,12","0,07","0,04","0,17","0,06","0,44","0,23","0,47","0,36",BRC0468E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,31","0,05","0,03","0,10","0,04","0,28","0,14","0,29","0,22",BRC0468E,Nome não encontrado
Tiamina,mg,"0,08","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0468E,Nome não encontrado
Riboflavina,mg,"0,04","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0468E,Nome não encontrado
Niacina,mg,"1,34","0,05","0,03","0,11","0,04","0,28","0,15","0,29","0,23",BRC0468E,Nome não encontrado
Vitamina B6,mg,"0,06","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01",BRC0468E,Nome não encontrado
Vitamina B12,mcg,"0,79","0,03","0,02","0,06","0,02","0,17","0,09","0,17","0,13",BRC0468E,Nome não encontrado
Vitamina C,mg,"4,23","0,15","0,08","0,34","0,13","0,89","0,47","0,93","0,72",BRC0468E,Nome não encontrado
Equivalente de folato,mcg,"12,8","0,45","0,26","1,02","0,38","2,69","1,41","2,82","2,18",BRC0468E,Nome não encontrado
Sal de adição,g,"0,33","0,01","0,01","0,03","0,01","0,07","0,04","0,07","0,06",BRC0468E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0468E,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0468E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0468E,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0468E,Nome não encontrado
