componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,564,BRC0476E,Nome não encontrado
Energia,kcal,134,BRC0476E,Nome não encontrado
Umidade,g,"69,4",BRC0476E,Nome não encontrado
Carboidrato total,g,"0,00",BRC0476E,Nome não encontrado
Carboidrato disponível,g,"0,00",BRC0476E,Nome não encontrado
Proteína,g,"25,7",BRC0476E,Nome não encontrado
Lipídios,g,"3,42",BRC0476E,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0476E,Nome não encontrado
Álcool,g,"0,00",BRC0476E,Nome não encontrado
Cinzas,g,"1,38",BRC0476E,Nome não encontrado
Colesterol,mg,"43,4",BRC0476E,Nome não encontrado
Ácidos graxos saturados,g,"0,50",BRC0476E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05",BRC0476E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81",BRC0476E,Nome não encontrado
Ácidos graxos trans,g,"0,03",BRC0476E,Nome não encontrado
Cálcio,mg,"16,4",BRC0476E,Nome não encontrado
Ferro,mg,traços,BRC0476E,Nome não encontrado
Sódio,mg,"80,1",BRC0476E,Nome não encontrado
Magnésio,mg,"29,9",BRC0476E,Nome não encontrado
Fósforo,mg,200,BRC0476E,Nome não encontrado
Potássio,mg,292,BRC0476E,Nome não encontrado
Manganês,mg,"0,02",BRC0476E,Nome não encontrado
Zinco,mg,"0,79",BRC0476E,Nome não encontrado
Cobre,mg,"0,07",BRC0476E,Nome não encontrado
Selênio,mcg,,BRC0476E,Nome não encontrado
Vitamina A (RE),mcg,traços,BRC0476E,Nome não encontrado
Vitamina A (RAE),mcg,traços,BRC0476E,Nome não encontrado
Vitamina D,mcg,,BRC0476E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,BRC0476E,Nome não encontrado
Tiamina,mg,"0,04",BRC0476E,Nome não encontrado
Riboflavina,mg,"0,04",BRC0476E,Nome não encontrado
Niacina,mg,"2,38",BRC0476E,Nome não encontrado
Vitamina B6,mg,"0,13",BRC0476E,Nome não encontrado
Vitamina B12,mcg,"1,44",BRC0476E,Nome não encontrado
Vitamina C,mg,"0,00",BRC0476E,Nome não encontrado
Equivalente de folato,mcg,,BRC0476E,Nome não encontrado
Sal de adição,g,"0,00",BRC0476E,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0476E,Nome não encontrado
Gordura de adição,g,"0,00",BRC0476E,Nome não encontrado
Proteína vegetal,g,"0,00",BRC0476E,Nome não encontrado
Proteína animal,g,"25,7",BRC0476E,Nome não encontrado
