componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1475,221,BRC0490E,Nome não encontrado
Energia,kcal,349,52,BRC0490E,Nome não encontrado
Umidade,g,"14,6","2,19",BRC0490E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0490E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0490E,Nome não encontrado
Proteína,g,"70,2","10,5",BRC0490E,Nome não encontrado
Lipídios,g,"7,60","1,14",BRC0490E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0490E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0490E,Nome não encontrado
Cinzas,g,"7,71","1,16",BRC0490E,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0490E,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0490E,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0490E,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0490E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0490E,Nome não encontrado
Cálcio,mg,,,BRC0490E,Nome não encontrado
Ferro,mg,,,BRC0490E,Nome não encontrado
Sódio,mg,,,BRC0490E,Nome não encontrado
Magnésio,mg,,,BRC0490E,Nome não encontrado
Fósforo,mg,,,BRC0490E,Nome não encontrado
Potássio,mg,,,BRC0490E,Nome não encontrado
Manganês,mg,,,BRC0490E,Nome não encontrado
Zinco,mg,,,BRC0490E,Nome não encontrado
Cobre,mg,,,BRC0490E,Nome não encontrado
Selênio,mcg,,,BRC0490E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0490E,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0490E,Nome não encontrado
Vitamina D,mcg,,,BRC0490E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0490E,Nome não encontrado
Tiamina,mg,,,BRC0490E,Nome não encontrado
Riboflavina,mg,,,BRC0490E,Nome não encontrado
Niacina,mg,,,BRC0490E,Nome não encontrado
Vitamina B6,mg,,,BRC0490E,Nome não encontrado
Vitamina B12,mcg,,,BRC0490E,Nome não encontrado
Vitamina C,mg,,,BRC0490E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0490E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0490E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0490E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0490E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0490E,Nome não encontrado
Proteína animal,g,"70,2","10,5",BRC0490E,Nome não encontrado
