componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,396,217,BRC0520N,Nome não encontrado
Energia,kcal,94,51,BRC0520N,Nome não encontrado
Umidade,g,"78,4","43,1",BRC0520N,Nome não encontrado
Carboidrato total,g,"15,8","8,69",BRC0520N,Nome não encontrado
Carboidrato disponível,g,"14,5","7,99",BRC0520N,Nome não encontrado
Proteína,g,"2,79","1,53",BRC0520N,Nome não encontrado
Lipídios,g,"2,48","1,36",BRC0520N,Nome não encontrado
Fibra alimentar,g,"1,27","0,70",BRC0520N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0520N,Nome não encontrado
Cinzas,g,"0,51","0,28",BRC0520N,Nome não encontrado
Colesterol,mg,"2,10","1,16",BRC0520N,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,24",BRC0520N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,55","0,85",BRC0520N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,39","0,22",BRC0520N,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02",BRC0520N,Nome não encontrado
Cálcio,mg,"16,4","9,01",BRC0520N,Nome não encontrado
Ferro,mg,"0,30","0,17",BRC0520N,Nome não encontrado
Sódio,mg,102,"56,2",BRC0520N,Nome não encontrado
Magnésio,mg,"4,16","2,29",BRC0520N,Nome não encontrado
Fósforo,mg,"30,7","16,9",BRC0520N,Nome não encontrado
Potássio,mg,"70,9","39,0",BRC0520N,Nome não encontrado
Manganês,mg,"0,12","0,07",BRC0520N,Nome não encontrado
Zinco,mg,"0,30","0,16",BRC0520N,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0520N,Nome não encontrado
Selênio,mcg,"1,03","0,57",BRC0520N,Nome não encontrado
Vitamina A (RE),mcg,"90,5","49,8",BRC0520N,Nome não encontrado
Vitamina A (RAE),mcg,"45,5","25,0",BRC0520N,Nome não encontrado
Vitamina D,mcg,,,BRC0520N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,28",BRC0520N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0520N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0520N,Nome não encontrado
Niacina,mg,"0,70","0,38",BRC0520N,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0520N,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01",BRC0520N,Nome não encontrado
Vitamina C,mg,"9,68","5,32",BRC0520N,Nome não encontrado
Equivalente de folato,mcg,"53,1","29,2",BRC0520N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0520N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0520N,Nome não encontrado
Gordura de adição,g,-,-,BRC0520N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0520N,Nome não encontrado
Proteína animal,g,-,-,BRC0520N,Nome não encontrado
